bridge_id,shock_year,ipp_change_before,ipp_change_after,revenue_change_before,revenue_change_after,same_direction_before,same_direction_after
food,2020,0.029093786309104308,0.02652952457911728,0.011127593173785089,0.009501068734192097,1,1
food,2022,0.009487057982723535,0.046981802511364856,0.06851421018700399,0.0,1,0
pharma,2020,0.25771927850201437,0.14029298371718624,0.1912577532123625,0.19941144438559721,1,1
pharma,2022,0.05369334239802881,-0.0008262874355488004,0.0816875480053112,0.0,1,0
energy_heat,2020,-0.030659015124828715,0.07362223993952766,-0.029589383065034225,0.1195339247545728,1,1
energy_heat,2022,-0.008711746096540351,-0.008309887249607795,0.014040387656623743,0.0,0,0
water,2020,0.014947624347948496,0.004530937490547782,-0.005911291429019472,0.028111531287830616,0,1
water,2022,0.012091652434028877,0.02159233112818737,0.05903899112478239,0.0,1,0
