series_code,series_name,variant,n_obs,var_omega,acf1,acf2,window,lags,no_model_share,mean_cond,median_cond,sign_stability_x,sign_stability_lag1,mean_r2
05,Добыча угля,adj_smoothed,156.0,0.00012346917730379672,0.9903466332602371,0.9652799639719531,24,3,0.0,67.15499205280865,66.65464204364125,1.0,1.0,0.9620770284836752
05,Добыча угля,adj_unsmoothed,156.0,0.0005400845069253731,0.9577796981064458,0.9155052963674319,24,3,0.0,4.472555925358731,4.622093964611939,0.8421052631578947,0.6842105263157895,0.28093559083214453
05,Добыча угля,raw,156.0,0.0022055619424463744,0.8623309162229986,0.7417980680671559,24,3,0.0,2.6428944936984364,2.5644073217614434,1.0,0.6390977443609023,0.3496323371607639
06,Добыча сырой нефти и природного,adj_smoothed,156.0,5.6869192493218794e-05,0.9724810541494724,0.9018986860499529,24,3,0.0,89.0669665895684,72.34837892298246,1.0,1.0,0.9593639043667
06,Добыча сырой нефти и природного,adj_unsmoothed,156.0,0.00026582480576803667,0.8788002278123396,0.7599466685147703,24,3,0.0,4.9965539328134705,4.260990490439393,0.9473684210526315,0.5037593984962406,0.2953838675956316
06,Добыча сырой нефти и природного,raw,156.0,0.002488030476710422,0.4113647240980337,0.5208994430597266,24,3,0.0,2.0135906796167835,1.777543300478801,1.0,0.7819548872180451,0.5911273309995467
06.1,Добыча сырой нефти и нефтяног,adj_smoothed,156.0,5.6869192493218794e-05,0.9724810541494724,0.9018986860499529,24,3,0.0,89.0669665895684,72.34837892298246,1.0,1.0,0.9593639043667
06.1,Добыча сырой нефти и нефтяног,adj_unsmoothed,156.0,0.00026582480576803667,0.8788002278123396,0.7599466685147703,24,3,0.0,4.9965539328134705,4.260990490439393,0.9473684210526315,0.5037593984962406,0.2953838675956316
06.1,Добыча сырой нефти и нефтяног,raw,156.0,0.002488030476710422,0.4113647240980337,0.5208994430597266,24,3,0.0,2.0135906796167835,1.777543300478801,1.0,0.7819548872180451,0.5911273309995467
06.2,Добыча природного газа и газо,adj_smoothed,156.0,0.00021667545818154129,0.9936426121811738,0.9773690120332696,24,3,0.0,71.91140128666314,62.24462234856368,1.0,1.0,0.9461098825015528
06.2,Добыча природного газа и газо,adj_unsmoothed,156.0,0.0011527825290137917,0.9662271195512656,0.9365944277544476,24,3,0.0,5.091539581755463,4.918938852431271,0.849624060150376,0.7218045112781954,0.25132441944847084
06.2,Добыча природного газа и газо,raw,156.0,0.007906512910288108,0.8730451421133096,0.7193780406726172,24,3,0.0,4.838091340715424,4.728990081867889,0.9624060150375939,0.7744360902255639,0.44643548980816256
07,Добыча металлических руд,adj_smoothed,156.0,2.465430261103123e-05,0.9961957959353027,0.9861162950899773,24,3,0.0,88.97742487023986,62.973685498945606,1.0,1.0,0.9326338672744366
