model,case,regime,stage,start,end,method,active_threshold,validation_r2,validation_mae,alpha,l1_ratio,support_size,true_lag_count,false_lag_count,hit_rate,false_lag_rate,no_model,coef_mae,coef_mae_true,false_coef_l1,sign_correct_share,support_intersection
base,base_a_2_2,затухающие колебания,early,12,37,lasso,0.05,0.9997678376050222,0.00656042165909082,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463034,0.030568900876209337,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,12,37,elastic_net,0.05,0.9999837054135298,0.0017346586771551469,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36355195103842514,2.0035463143351824,1.9955251470874937,1.0,1.0
base,base_a_2_2,затухающие колебания,early,15,40,enter,0.05,0.9999999999999267,1.1694297502584661e-07,,,5.0,1.0,4.0,1.0,0.8,0.0,0.3687862036104145,1.897000101208687,2.1596481385058723,1.0,1.0
base,base_a_2_2,затухающие колебания,early,15,40,stepwise,0.05,1.0,5.736152293896642e-16,,,1.0,1.0,0.0,1.0,0.0,0.0,8.074349270001139e-17,8.881784197001252e-16,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,15,40,ridge,0.05,0.9999999999957732,7.649026289210011e-07,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36363573051381903,1.999997666257785,1.9999953693942245,1.0,1.0
base,base_a_2_2,затухающие колебания,early,15,40,lasso,0.05,0.999767837586908,0.006560421867773003,0.013894954943731374,,1.0,1.0,0.0,1.0,0.0,0.0,0.0027789909887463125,0.030568900876209337,9.992007349540524e-17,1.0,1.0
base,base_a_2_2,затухающие колебания,early,15,40,elastic_net,0.05,0.9999828945600685,0.0017807070226386057,0.013894954943731374,0.2,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.3635303714055627,2.0035652870765377,1.995268798384652,1.0,1.0
base,base_a_2_2,затухающие колебания,early,18,43,enter,0.05,0.9999999924940168,3.661204016961831e-05,,,7.0,1.0,6.0,1.0,0.8571428571428571,0.0,0.3687244163318114,1.8970231533050539,2.1589454263448715,1.0,1.0
base,base_a_2_2,затухающие колебания,early,18,43,stepwise,0.05,1.0,7.401486830834377e-16,,,1.0,1.0,0.0,1.0,0.0,0.0,4.0371746350005693e-17,4.440892098500626e-16,0.0,1.0,1.0
base,base_a_2_2,затухающие колебания,early,18,43,ridge,0.05,0.9999999999257726,3.693221418910042e-06,0.001,,11.0,1.0,10.0,1.0,0.9090909090909091,0.0,0.36363511733099857,2.000001616119592,1.999984674521393,1.0,1.0
