variant,label,one_step_rmse,rmse_h10,rmse_h25,rmse_h50,rmse_h100,max_abs_deviation,first_noticeable_divergence,phase_preserved
lag1_only,Усечённая регрессия: только Lag_1,1.2657612291403975e-16,2.579925170969555e-16,2.2425405839770103e-16,2.3914935841127266e-16,2.7799949066207116e-16,6.661338147750939e-16,,True
stepwise_full,Полная Stepwise-модель: Lag_1 + Lag_3 + Lag_9,1.5073229136368722e-16,1.9547493470172272e-16,2.6645352591003756e-16,2.1925147983971603e-16,2.462593796972316e-16,5.551115123125783e-16,,True
thresholded,Пороговая версия: зануление коэффициентов < 1e-12,1.5073229136368722e-16,9.75481146369752e-16,8.792517768629141e-16,8.466860974526477e-16,8.291069431564587e-16,1.5543122344752192e-15,,True
