series_code,series_name,variant,n_obs,var_omega,acf1,acf2,window,lags,no_model_share,mean_cond,median_cond,sign_stability_x,sign_stability_lag1,mean_r2
05,Добыча угля,adj_smoothed,156.0,0.00012346917730379672,0.9903466332602371,0.9652799639719531,24,3,0.0,67.15499205280865,66.65464204364125,1.0,1.0,0.9620770284836752
05,Добыча угля,adj_smoothed,156.0,0.00012346917730379672,0.9903466332602371,0.9652799639719531,24,6,0.0,759.8907278428998,727.2973463834085,1.0,1.0,0.9907325945446382
05,Добыча угля,adj_smoothed,156.0,0.00012346917730379672,0.9903466332602371,0.9652799639719531,36,3,0.0,76.46380410401721,63.317462396461856,1.0,1.0,0.9558838422728946
05,Добыча угля,adj_smoothed,156.0,0.00012346917730379672,0.9903466332602371,0.9652799639719531,36,6,0.0,847.6320331023858,859.0630783873504,1.0,1.0,0.9875979568358842
05,Добыча угля,adj_smoothed,156.0,0.00012346917730379672,0.9903466332602371,0.9652799639719531,48,3,0.0,88.40039414958594,61.7309770523121,1.0,1.0,0.9534109394052195
05,Добыча угля,adj_smoothed,156.0,0.00012346917730379672,0.9903466332602371,0.9652799639719531,48,6,0.0,999.5944502073912,839.7641943798325,1.0,1.0,0.9862538529709112
05,Добыча угля,adj_unsmoothed,156.0,0.0005400845069253731,0.9577796981064458,0.9155052963674319,24,3,0.0,4.472555925358731,4.622093964611939,0.8421052631578947,0.6842105263157895,0.28093559083214453
05,Добыча угля,adj_unsmoothed,156.0,0.0005400845069253731,0.9577796981064458,0.9155052963674319,24,6,0.0,6.094642521539342,5.964993325609902,0.8421052631578947,0.6691729323308271,0.4465984198673811
05,Добыча угля,adj_unsmoothed,156.0,0.0005400845069253731,0.9577796981064458,0.9155052963674319,36,3,0.0,5.459198724298181,4.964913050009308,0.8264462809917356,0.7851239669421488,0.20463381599365746
05,Добыча угля,adj_unsmoothed,156.0,0.0005400845069253731,0.9577796981064458,0.9155052963674319,36,6,0.0,7.240901557522251,6.53405312937663,0.8512396694214877,0.7272727272727273,0.2858600560631081
05,Добыча угля,adj_unsmoothed,156.0,0.0005400845069253731,0.9577796981064458,0.9155052963674319,48,3,0.0,6.422937939449415,4.958301145077798,0.8256880733944955,0.9357798165137615,0.17468900811069563
05,Добыча угля,adj_unsmoothed,156.0,0.0005400845069253731,0.9577796981064458,0.9155052963674319,48,6,0.0,8.480565268393766,6.0883326396321,0.9174311926605505,0.908256880733945,0.24007417728266914
05,Добыча угля,raw,156.0,0.0022055619424463744,0.8623309162229986,0.7417980680671559,24,3,0.0,2.6428944936984364,2.5644073217614434,1.0,0.6390977443609023,0.3496323371607639
05,Добыча угля,raw,156.0,0.0022055619424463744,0.8623309162229986,0.7417980680671559,24,6,0.0,3.7155922922150197,3.5614782416939987,1.0,0.8270676691729323,0.5428693614032616
05,Добыча угля,raw,156.0,0.0022055619424463744,0.8623309162229986,0.7417980680671559,36,3,0.0,2.867138491806904,2.6564756048521594,1.0,0.6446280991735537,0.2793888959940081
05,Добыча угля,raw,156.0,0.0022055619424463744,0.8623309162229986,0.7417980680671559,36,6,0.0,3.775662948015304,3.4285088104065204,1.0,0.8925619834710744,0.4288201552138673
05,Добыча угля,raw,156.0,0.0022055619424463744,0.8623309162229986,0.7417980680671559,48,3,0.0,3.123028014701446,2.7166947926189855,1.0,0.6330275229357798,0.2475465053330142
05,Добыча угля,raw,156.0,0.0022055619424463744,0.8623309162229986,0.7417980680671559,48,6,0.0,4.144000561116949,3.4062130186987756,1.0,0.8532110091743119,0.38651513494607753
