date,series_code,series_name,series_label,variant,index_value
2017-07-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,105.217
2017-08-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,104.845
2017-09-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,104.395
2017-10-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,104.112
2017-11-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,104.116
2017-12-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,104.353
2018-01-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,104.747
2018-02-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,105.261
2018-03-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,105.84
2018-04-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,106.452
2018-05-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,107.13
2018-06-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,107.955
2018-07-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,108.854
2018-08-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,109.627
2018-09-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,110.067
2018-10-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,110.124
2018-11-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,109.95
2018-12-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,109.788
2019-01-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,109.826
2019-02-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,110.079
2019-03-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,110.323
2019-04-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,110.386
2019-05-01,06,Добыча сырой нефти и природного,06 Добыча сырой нефти и природного,adj_smoothed,110.38
