model,case,regime,window,lags,period,rho,windows,false_lag_rate,hit_rate,no_model_share,mean_false_lag_count,mean_selected_count,mean_b_sum,std_b_sum,mean_R2_enter,rho_band
base,base_a_2_52,предтурбулентный цикл,40,10,4,10.0,140,0.2380952380952381,0.8857142857142857,0.0,0.37142857142857144,1.2571428571428571,0.46604602083267477,0.5317904852124603,0.9999910063690245,rho>=2
base,base_a_2_52,предтурбулентный цикл,50,10,4,12.5,130,0.5333333333333333,0.6461538461538462,0.0,0.7384615384615385,1.3846153846153846,0.4350339749620825,0.5307180882701391,0.9999973851297971,rho>=2
delay,delay_g_0_8,затухающие колебания,15,3,20,0.75,165,0.0,1.0,0.0,0.0,1.0,-0.7603761616496195,0.1129579301695584,0.9999914918830068,rho<1
delay,delay_g_0_8,затухающие колебания,20,3,20,1.0,160,0.03125,1.0,0.0,0.08125,1.08125,-0.7698438255511105,0.09919228489009595,0.9999912097033496,1<=rho<2
delay,delay_g_0_8,затухающие колебания,25,3,20,1.25,155,0.01935483870967742,1.0,0.0,0.03870967741935484,1.038709677419355,-0.7784106155686845,0.08220950026750608,0.9999925674845402,1<=rho<2
delay,delay_g_0_8,затухающие колебания,30,3,20,1.5,150,0.1061111111111111,1.0,0.0,0.24,1.24,-0.7894999476630585,0.05474096323346321,0.9999732662509075,1<=rho<2
delay,delay_g_0_8,затухающие колебания,40,3,20,2.0,140,0.075,1.0,0.0,0.15,1.15,-0.7999862060118819,0.0005350558562895746,0.9999966290934976,rho>=2
delay,delay_g_0_8,затухающие колебания,50,3,20,2.5,130,0.0717948717948718,1.0,0.0,0.15384615384615385,1.1538461538461537,-0.7999994970417001,4.8298719638765195e-05,0.9999998912737641,rho>=2
delay,delay_g_0_8,затухающие колебания,15,5,20,0.75,165,0.0,1.0,0.0,0.0,1.0,-0.6519491367752336,0.3058450050466624,0.999994877382244,rho<1
delay,delay_g_0_8,затухающие колебания,20,5,20,1.0,160,0.013541666666666669,1.0,0.0,0.06875,1.06875,-0.6784830100286308,0.27322933357113843,0.9999864051777319,1<=rho<2
delay,delay_g_0_8,затухающие колебания,25,5,20,1.25,155,0.053763440860215055,1.0,0.0,0.12903225806451613,1.1290322580645162,-0.7068116808646273,0.229952349331168,0.9999594896088478,1<=rho<2
delay,delay_g_0_8,затухающие колебания,30,5,20,1.5,150,0.08333333333333333,1.0,0.0,0.19333333333333333,1.1933333333333334,-0.731169948717033,0.18509738679165,0.999957447315401,1<=rho<2
delay,delay_g_0_8,затухающие колебания,40,5,20,2.0,140,0.1,1.0,0.0,0.21428571428571427,1.2142857142857142,-0.7734723195316255,0.038648408824817015,0.9999934363095039,rho>=2
delay,delay_g_0_8,затухающие колебания,50,5,20,2.5,130,0.06923076923076923,1.0,0.0,0.13846153846153847,1.1384615384615384,-0.7775617869745647,0.03710529523006041,0.9999985631982911,rho>=2
delay,delay_g_0_8,затухающие колебания,20,10,20,1.0,160,0.0,1.0,0.0,0.0,1.0,-0.21131872207925767,0.21109502843287042,0.9999964424483407,1<=rho<2
delay,delay_g_0_8,затухающие колебания,25,10,20,1.25,155,0.01812316715542522,1.0,0.0,0.13548387096774195,1.135483870967742,-0.43481678205186586,0.3418989781646764,0.9999819331882843,1<=rho<2
delay,delay_g_0_8,затухающие колебания,30,10,20,1.5,150,0.10161616161616162,1.0,0.0,0.28,1.28,-0.44725802383570823,0.3401898181534691,0.999968590932084,1<=rho<2
delay,delay_g_0_8,затухающие колебания,40,10,20,2.0,140,0.22321428571428573,1.0,0.0,0.5,1.5,-0.47569582322459475,0.3332316706805147,0.9999969802460598,rho>=2
delay,delay_g_0_8,затухающие колебания,50,10,20,2.5,130,0.3076923076923077,1.0,0.0,0.676923076923077,1.676923076923077,-0.5065589620298044,0.3257833962470819,0.9999933641087116,rho>=2
delay,delay_g_1_05,цикл,15,3,6,2.5,165,0.0,1.0,0.0,0.0,1.0,-1.050000000005276,5.868444775775656e-11,1.0,rho>=2
delay,delay_g_1_05,цикл,20,3,6,3.3333333333333335,160,0.009375,1.0,0.0,0.01875,1.01875,-1.0500000000000003,1.808019746037004e-15,1.0,rho>=2
delay,delay_g_1_05,цикл,25,3,6,4.166666666666667,155,0.025806451612903226,1.0,0.0,0.05161290322580645,1.0516129032258064,-1.05,1.5897485080723587e-15,1.0,rho>=2
delay,delay_g_1_05,цикл,30,3,6,5.0,150,0.05,1.0,0.0,0.1,1.1,-1.05,1.819151232076605e-15,1.0,rho>=2
