b1_group,group_label,year,median_revenue,mean_revenue,median_log_revenue,firms,median_growth,log_diff_median
high_90_50,High growth,2003,19141.0,250643.44439014202,9.859587861116504,2394,0.26552949166710205,
high_90_50,High growth,2004,24223.5,338144.8681691729,10.095078513419981,2394,0.2318616219786571,0.23549065230347743
high_90_50,High growth,2005,29840.0,502131.8091207185,10.30359825976787,2394,0.17513404825737267,0.20851974634788917
high_90_50,High growth,2006,35066.0,600145.5740626566,10.464985343069227,2394,0.31523412992642447,0.16138708330135643
high_90_50,High growth,2007,46120.0,657815.7444511278,10.738999623708864,2394,0.14861231569817868,0.27401428063963706
high_90_50,High growth,2008,52974.0,772263.079082289,10.87755650541694,2394,-0.1515177256767471,0.13855688170807667
high_90_50,High growth,2009,44947.5,715196.0288888889,10.713249630947569,2394,-0.03164803381723121,-0.16430687446937142
high_90_50,High growth,2010,43525.0,617541.014401838,10.681090599678711,2394,0.6240666283744974,-0.032159031268857774
high_90_50,High growth,2011,70687.5,935429.9933433584,11.166023713423995,2394,0.38491954022988506,0.48493311374528325
high_90_50,High growth,2012,97896.5,1214605.3806441103,11.491665999781809,2394,0.27655738458474,0.3256422863578141
high_90_50,High growth,2013,124970.5,1637361.785023392,11.735832964220629,2394,0.32643303819701447,0.24416696443882024
high_90_50,High growth,2014,165765.0,2028448.0159181287,12.018325744802254,2394,-0.061759116822007055,0.2824927805816255
high_90_50,High growth,2015,155527.5,2275343.136316625,11.954577799144836,2394,0.0019321341884875665,-0.06374794565741837
high_90_50,High growth,2016,155828.0,2525973.2372598164,11.956508090054882,2394,-0.010412121056549529,0.0019302909100460397
high_90_50,High growth,2017,154205.5,2656003.4381787805,11.946039632990784,2394,0.0642389538635133,-0.010468457064098047
high_90_50,High growth,2018,164111.5,2933364.2493734336,12.008301110452557,2394,0.012908906444703752,0.062261477461772685
high_90_50,High growth,2019,166230.0,3200564.8003341686,12.021124351331526,2394,0.0053750827167178,0.012823240878969244
high_90_50,High growth,2020,167123.5,3233200.4941520467,12.026482033261296,2394,0.07606350991931117,0.005357681929769598
high_90_50,High growth,2021,179835.5,4645218.67710944,12.099797783704666,2394,0.023073864726374935,0.07331575044337058
high_90_50,High growth,2022,183985.0,4976701.2481203005,12.122609501543828,2394,,0.02281171783916136
low_10_50,Low growth,2003,26674.0,144664.73931913116,10.191444074885755,2394,0.2558858813826198,
low_10_50,Low growth,2004,33499.5,179846.74828153718,10.419285792217252,2394,0.20342094658129226,0.22784171733149705
low_10_50,Low growth,2005,40314.0,216696.4989310777,10.604454051383112,2394,0.22008483405268642,0.18516825916585944
low_10_50,Low growth,2006,49186.5,266737.09387176274,10.803374474119597,2394,0.24136704176959126,0.19892042273648514
low_10_50,Low growth,2007,61058.5,381661.67666248954,11.01958742233456,2394,0.18110500585504066,0.21621294821496306
low_10_50,Low growth,2008,72116.5,392823.7980810359,11.186037475604902,2394,-0.16609929766419612,0.16645005327034212
low_10_50,Low growth,2009,60138.0,300015.03631077695,11.004396522816695,2394,0.09987861252452693,-0.18164095278820724
low_10_50,Low growth,2010,66144.5,373502.8558245614,11.099597000889439,2394,-0.18770268125089765,0.09520047807274423
low_10_50,Low growth,2011,53729.0,362582.59972305765,10.891708171280461,2394,-0.2258556831506263,-0.2078888296089776
low_10_50,Low growth,2012,41594.0,295358.89194862155,10.635711024448348,2394,-0.25530124537192866,-0.2559971468321134
low_10_50,Low growth,2013,30975.0,199946.00108270676,10.340935673144923,2394,-0.32232445520581116,-0.294775351303425
low_10_50,Low growth,2014,20991.0,122520.08744068505,9.951848399792228,2394,0.03756371778381211,-0.3890872733526951
low_10_50,Low growth,2015,21779.5,152783.6054197995,9.988724217761614,2394,0.02107486397759361,0.03687581796938666
low_10_50,Low growth,2016,22238.5,172803.54863951547,10.009580279573644,2394,0.0013714953796344178,0.02085606181202948
low_10_50,Low growth,2017,22269.0,166861.30200501252,10.010950854777406,2394,-0.02256500067358211,0.0013705752037616037
low_10_50,Low growth,2018,21766.5,185773.89431913116,9.98812678678686,2394,-0.029885374313739003,-0.022824067990544705
low_10_50,Low growth,2019,21116.0,165501.2923976608,9.95778630800168,2394,-0.0823782913430574,-0.03034047878518109
low_10_50,Low growth,2020,19376.5,160738.9745196324,9.87181459225192,2394,0.05277010812066163,-0.08597171574976059
low_10_50,Low growth,2021,20399.0,199136.97326649958,9.923239039433511,2394,0.008211186822883475,0.051424447181592114
low_10_50,Low growth,2022,20566.5,216771.3680033417,9.93141879352757,2394,,0.008179754094058467
middle_45_55_50,Middle growth,2003,25724.9375,243284.9559732665,10.155214083239414,2394,0.28168373586913464,
middle_45_55_50,Middle growth,2004,32971.234,327611.60730701755,10.403390370254428,2394,0.1840472819427991,0.24817628701501349
middle_45_55_50,Middle growth,2005,39039.5,400151.0999110276,10.572324469441785,2394,0.2208788534689225,0.16893409918735713
middle_45_55_50,Middle growth,2006,47662.5,461555.57592105266,10.771900204110795,2394,0.21595594020456332,0.19957573466900946
middle_45_55_50,Middle growth,2007,57955.5,562276.2532836257,10.967429859572261,2394,0.1693023095305881,0.19552965546146694
middle_45_55_50,Middle growth,2008,67767.5,691947.293021721,11.123837978329458,2394,-0.06554764451986572,0.15640811875719685
middle_45_55_50,Middle growth,2009,63325.5,700652.6176888053,11.05604243769239,2394,0.14247025289970075,-0.06779554063706783
middle_45_55_50,Middle growth,2010,72347.5,835562.379748538,11.189234126998954,2394,0.10484812882269602,0.1331916893065639
middle_45_55_50,Middle growth,2011,79933.0,930727.5636842105,11.288943931208568,2394,0.08200618017589731,0.0997098042096134
middle_45_55_50,Middle growth,2012,86488.0,977345.2121971595,11.367759328269866,2394,0.025234714642493758,0.07881539706129814
middle_45_55_50,Middle growth,2013,88670.5,1022219.0428178781,11.392681311378924,2394,0.02324899487428175,0.024921983109058132
middle_45_55_50,Middle growth,2014,90732.0,1046929.2202071847,11.415665302198134,2394,0.07522704227835825,0.022983990819209765
middle_45_55_50,Middle growth,2015,97557.5,1070248.0718462823,11.488197217170768,2394,-0.021064500422827565,0.07253191497263423
middle_45_55_50,Middle growth,2016,95502.5,1133737.9591570594,11.466906575264357,2394,-0.037281746551137404,-0.021290641906411167
middle_45_55_50,Middle growth,2017,91942.0,1149041.4482038429,11.428912843891872,2394,0.019191446781666704,-0.03799373137248452
middle_45_55_50,Middle growth,2018,93706.5,1337817.0551378445,11.447922553136689,2394,-0.027650163008969494,0.019009709244816264
middle_45_55_50,Middle growth,2019,91115.5,1346681.4281537177,11.419883057883855,2394,-0.04911348782589131,-0.028039495252834
middle_45_55_50,Middle growth,2020,86640.5,1250855.336550543,11.369522634530583,2394,0.1207864682221363,-0.050360423353271955
middle_45_55_50,Middle growth,2021,97105.5,1493660.0254803675,11.483553277163864,2394,0.03859204679446581,0.11403064263328133
middle_45_55_50,Middle growth,2022,100853.0,1536905.8078529658,11.521418837050742,2394,,0.03786555988687823
