b1_group,group_label,shock_year,median_revenue,change_before,change_after
high_90_50,High growth,2020,167123.5,0.005375082716717827,0.07606350991931121
high_90_50,High growth,2022,183985.0,0.02307386472637485,0.0
low_10_50,Low growth,2020,19376.5,-0.08237829134305741,0.05277010812066152
low_10_50,Low growth,2022,20566.5,0.008211186822883576,0.0
middle_45_55_50,Middle growth,2020,86640.5,-0.04911348782589131,0.12078646822213623
middle_45_55_50,Middle growth,2022,100853.0,0.03859204679446582,0.0
