model,case,regime,segment,method,observation,valid_share,a_mae,a_median_ae,a_iqr_ae,k_mae,k_median_ae,k_iqr_ae,mean_R2,g_mae,g_median_ae,g_iqr_ae,q_mae,q_median_ae,q_iqr_ae,gamma_mae,gamma_median_ae,gamma_iqr_ae
base,base_a_2_2,затухающие колебания,early,regression,noisy,1.0,0.011106968134011944,0.0071485305815268685,0.011342785147686496,0.0041535982236785216,0.0022842280810797533,0.005035838183135494,0.9940583226727765,,,,,,,,,
base,base_a_2_2,затухающие колебания,late,regression,noisy,1.0,0.014989069361576918,0.013761942696587148,0.007537695608500705,0.003829092215686616,0.003657489390434421,0.002297104667853489,0.9940669490699805,,,,,,,,,
base,base_a_2_2,затухающие колебания,middle,regression,noisy,1.0,0.015255541458231983,0.014272650729650671,0.017684663436482673,0.006005536517706643,0.0035229909910698964,0.009864043359844032,0.9930948287558424,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,early,direct,clean,1.0,2.276145373875575e-14,4.440892098500626e-16,4.440892098500626e-16,8.940117949142575e-15,0.0,0.0,,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,late,direct,clean,1.0,3.0346096006420946e-16,4.440892098500626e-16,4.440892098500626e-16,2.960594732333751e-17,0.0,0.0,,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,middle,direct,clean,1.0,2.9355049464665157e-16,4.440892098500626e-16,4.440892098500626e-16,1.881733940042638e-17,0.0,0.0,,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,early,regression,clean,1.0,7.123931074678088e-16,4.440892098500626e-16,4.440892098500626e-16,3.515706244646329e-16,4.440892098500626e-16,2.220446049250313e-16,1.0,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,late,regression,clean,1.0,6.97854472621527e-16,4.440892098500626e-16,4.440892098500626e-16,2.1298155982605043e-16,2.220446049250313e-16,2.220446049250313e-16,1.0,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,middle,regression,clean,1.0,6.698972826551792e-16,4.440892098500626e-16,4.440892098500626e-16,3.3118517344750433e-16,4.440892098500626e-16,2.220446049250313e-16,1.0,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,early,direct,noisy,0.9661016949152542,2.841269224378163,0.04287716821585352,0.053409344431603056,0.048501842027548474,0.007245933244436564,0.011379830253859136,,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,late,direct,noisy,1.0,0.07525119222991529,0.06245541123116016,0.08729690537269585,0.017386398894549137,0.014393260026765886,0.0209362435752041,,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,middle,direct,noisy,1.0,0.05118374266597633,0.03347637078168919,0.056077825939930825,0.009514079832993952,0.008247229677989965,0.01028446206162037,,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,early,regression,noisy,1.0,0.012646897467183135,0.00689265647784465,0.01664780964220902,0.003988707529079513,0.003366057854996607,0.005153224306556986,0.9984714940038654,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,late,regression,noisy,1.0,0.013738499988405381,0.011742444139305253,0.017486134372652007,0.008729559822701419,0.009084097770572508,0.006363928506618932,0.9956162018645077,,,,,,,,,
base,base_a_2_52,предтурбулентный режим,middle,regression,noisy,1.0,0.007563303179180508,0.005979709920420628,0.008880742550706033,0.003084737237807002,0.0026151138764559656,0.0038491898593504548,0.9977951681111544,,,,,,,,,
base,base_a_2_8,хаотический режим,early,direct,clean,1.0,3.3427121710917425e-14,0.0,4.440892098500626e-16,1.1879386363489175e-14,0.0,0.0,,,,,,,,,,
base,base_a_2_8,хаотический режим,late,direct,clean,1.0,3.2566542055671256e-16,0.0,4.440892098500626e-16,1.4802973661668754e-17,0.0,0.0,,,,,,,,,,
base,base_a_2_8,хаотический режим,middle,direct,clean,1.0,5.193585674517681e-16,4.440892098500626e-16,4.440892098500626e-16,1.5053871520341106e-17,0.0,0.0,,,,,,,,,,
base,base_a_2_8,хаотический режим,early,regression,clean,1.0,6.753856733136369e-16,8.881784197001252e-16,8.881784197001252e-16,2.0816681711721685e-16,2.220446049250313e-16,2.220446049250313e-16,1.0,,,,,,,,,
base,base_a_2_8,хаотический режим,late,regression,clean,1.0,6.2535011182968e-16,4.440892098500626e-16,8.881784197001252e-16,2.333734112987574e-16,2.220446049250313e-16,0.0,1.0,,,,,,,,,
base,base_a_2_8,хаотический режим,middle,regression,clean,1.0,5.871009892933031e-16,4.440892098500626e-16,8.881784197001252e-16,2.3333500856528716e-16,2.220446049250313e-16,0.0,1.0,,,,,,,,,
base,base_a_2_8,хаотический режим,early,direct,noisy,0.9830508474576272,8.71068452458229,0.08254365414349607,0.10869733816971816,0.08032769421475065,0.013828052825339443,0.012396289979612424,,,,,,,,,,
base,base_a_2_8,хаотический режим,late,direct,noisy,1.0,0.12554348067763196,0.05006201022027135,0.11651024873463112,0.00998699651862345,0.008943249375269136,0.008745887901614985,,,,,,,,,,
base,base_a_2_8,хаотический режим,middle,direct,noisy,1.0,0.15140140027657323,0.061209475851747186,0.20784802727788398,0.012288991814576907,0.010776444512853867,0.012602705648532053,,,,,,,,,,
base,base_a_2_8,хаотический режим,early,regression,noisy,1.0,0.017774272575535488,0.01716601817005481,0.020959537501896608,0.002704490335661558,0.0025030960781389777,0.001697445467908315,0.9980997299404519,,,,,,,,,
base,base_a_2_8,хаотический режим,late,regression,noisy,1.0,0.014591602641694621,0.014026424226797118,0.011262819450390094,0.00152448258725592,0.0014504057034854245,0.001317866345369234,0.9978411113278826,,,,,,,,,
base,base_a_2_8,хаотический режим,middle,regression,noisy,1.0,0.029224671114566756,0.029127160234400318,0.02488836622542312,0.00297432371719686,0.002861949119242313,0.002899495649239192,0.9964568627999529,,,,,,,,,
delay,delay_g_0_2,устойчивое насыщение,early,direct,clean,1.0,,,,1.873778909811108e-12,4.4575454438700035e-14,6.901423876826129e-13,,3.751840792066352e-13,8.978928711655954e-15,1.3781337182550146e-13,,,,,,
delay,delay_g_0_2,устойчивое насыщение,late,direct,clean,0.2711864406779661,,,,7.008282842946301e-16,6.106226635438361e-16,8.881784197001252e-16,,1.1816690114891878e-05,4.309301287946932e-06,1.0352443765529462e-05,,,,,,
delay,delay_g_0_2,устойчивое насыщение,middle,direct,clean,1.0,,,,4.884981308350689e-16,4.440892098500626e-16,4.440892098500626e-16,,7.746458159652025e-09,4.928876751186806e-12,6.815191952447286e-10,,,,,,
delay,delay_g_0_2,устойчивое насыщение,early,regression,clean,1.0,,,,5.6667633548575696e-15,8.326672684688674e-16,2.831068712794149e-15,1.0,1.1466522176206695e-15,1.942890293094024e-16,5.828670879282072e-16,,,,,,
delay,delay_g_0_2,устойчивое насыщение,late,regression,clean,0.9387755102040817,,,,1.882552085233961e-16,2.220446049250313e-16,2.220446049250313e-16,0.9988124208288277,0.001004795575860852,8.46847563677755e-06,0.00015811888689601372,,,,,,
delay,delay_g_0_2,устойчивое насыщение,middle,regression,clean,1.0,,,,1.881733940042638e-16,2.220446049250313e-16,2.220446049250313e-16,1.0,1.2200724282098392e-10,2.1010970741031088e-13,1.829590645652246e-11,,,,,,
delay,delay_g_0_2,устойчивое насыщение,early,direct,noisy,0.5862068965517241,,,,0.7342463971212101,0.9504990965357704,0.4524208096914071,,109.57508702427161,8.472222147016145,49.29475757159903,,,,,,
delay,delay_g_0_2,устойчивое насыщение,late,direct,noisy,0.2542372881355932,,,,0.01894740981260837,0.013124711021472502,0.021494821017926213,,3.247723003679224,1.6359800823690733,5.186218565173844,,,,,,
delay,delay_g_0_2,устойчивое насыщение,middle,direct,noisy,0.43333333333333335,,,,0.0214382600504574,0.011062935980730826,0.01781499743822612,,6.895236372264933,1.539784382663734,5.386732690550563,,,,,,
delay,delay_g_0_2,устойчивое насыщение,early,regression,noisy,0.8541666666666666,,,,0.2289939177769225,0.038810937736210915,0.1755790759758551,0.4051823161817207,0.10229209641518819,0.01097289201830226,0.0412655330842886,,,,,,
delay,delay_g_0_2,устойчивое насыщение,late,regression,noisy,0.3469387755102041,,,,0.015161398092098063,0.009483023715738392,0.014443138301775793,0.0037521719891266303,0.11673487155115844,0.12354898518078998,0.05254065333201721,,,,,,
delay,delay_g_0_2,устойчивое насыщение,middle,regression,noisy,0.576271186440678,,,,0.008425927289925824,0.004534817843537153,0.008700729801347479,0.1187389872296788,0.0721110290909815,0.04419762068854091,0.12146320527112253,,,,,,
delay,delay_g_0_8,колебательный рост,early,direct,clean,1.0,,,,6.588407980098838e-14,2.220446049250313e-16,8.049116928532385e-16,,6.040570342775184e-14,2.55351295663786e-15,1.2823075934420558e-14,,,,,,
delay,delay_g_0_8,колебательный рост,late,direct,clean,1.0,,,,1.881733940042638e-16,1.1102230246251565e-16,2.220446049250313e-16,,5.743835642518132e-09,3.4763325551523394e-10,4.099885986263985e-09,,,,,,
delay,delay_g_0_8,колебательный рост,middle,direct,clean,1.0,,,,2.331468351712829e-16,0.0,2.220446049250313e-16,,8.274425589149814e-12,7.576161920042068e-13,5.1485760099723166e-12,,,,,,
delay,delay_g_0_8,колебательный рост,early,regression,clean,1.0,,,,1.734723475976807e-16,2.220446049250313e-16,2.220446049250313e-16,1.0,2.1256144992302475e-15,8.881784197001252e-16,1.9984014443252818e-15,,,,,,
delay,delay_g_0_8,колебательный рост,late,regression,clean,1.0,,,,2.061842760018148e-16,2.220446049250313e-16,1.1102230246251565e-16,1.0,3.6205556240140154e-10,7.73168196133156e-11,3.0330138400813667e-10,,,,,,
delay,delay_g_0_8,колебательный рост,middle,regression,clean,1.0,,,,1.9005512794430647e-16,2.220446049250313e-16,1.1102230246251565e-16,1.0,1.2981423845475146e-12,1.2634338020234281e-13,1.0307310560619953e-12,,,,,,
delay,delay_g_0_8,колебательный рост,early,direct,noisy,0.6206896551724138,,,,0.19146390269358882,0.02741261964267494,0.15748537058120562,,31.049992897175784,0.5615963885887032,2.0276061938699312,,,,,,
delay,delay_g_0_8,колебательный рост,late,direct,noisy,0.3559322033898305,,,,0.5800029584527917,0.012946466158502812,0.025577513496385373,,5.8531211114968515,1.214499207355782,2.255690749003045,,,,,,
delay,delay_g_0_8,колебательный рост,middle,direct,noisy,0.38333333333333336,,,,0.0464480346859435,0.01128991391333345,0.02075320526484309,,187.94365544177307,0.7829165633218917,3.4385318741935924,,,,,,
delay,delay_g_0_8,колебательный рост,early,regression,noisy,0.8958333333333334,,,,0.0054584353678002314,0.0037806444145292994,0.0035820045479255103,0.5678673034563506,0.19872663166649132,0.04500306677930044,0.39093028554653114,,,,,,
delay,delay_g_0_8,колебательный рост,late,regression,noisy,0.2653061224489796,,,,0.01973491354947632,0.00908950477669479,0.012199250327139088,0.008798794583784067,0.6898015982338411,0.7066254463086354,0.11804870297947512,,,,,,
delay,delay_g_0_8,колебательный рост,middle,regression,noisy,0.3389830508474576,,,,0.027859441393542565,0.01389801762865328,0.02760101187223346,0.003460449584325753,0.7248171003774577,0.7311566734233501,0.052531774423417055,,,,,,
delay,delay_g_1_05,циклический режим,early,direct,clean,1.0,,,,5.793450010914653e-14,2.220446049250313e-16,6.106226635438361e-16,,6.196958655037038e-14,4.440892098500626e-16,4.440892098500626e-16,,,,,,
delay,delay_g_1_05,циклический режим,late,direct,clean,1.0,,,,2.897870267665663e-16,0.0,2.220446049250313e-16,,8.31726401498846e-16,2.220446049250313e-16,2.220446049250313e-16,,,,,,
delay,delay_g_1_05,циклический режим,middle,direct,clean,1.0,,,,2.997602166487923e-16,2.220446049250313e-16,2.220446049250313e-16,,8.030613211455299e-16,2.220446049250313e-16,4.996003610813204e-16,,,,,,
delay,delay_g_1_05,циклический режим,early,regression,clean,1.0,,,,2.0816681711721685e-16,2.220446049250313e-16,2.220446049250313e-16,1.0,2.266705341943028e-16,2.220446049250313e-16,0.0,,,,,,
delay,delay_g_1_05,циклический режим,late,regression,clean,1.0,,,,1.948554696280887e-16,2.220446049250313e-16,2.220446049250313e-16,1.0,2.854859206178974e-16,2.220446049250313e-16,2.220446049250313e-16,,,,,,
delay,delay_g_1_05,циклический режим,middle,regression,clean,1.0,,,,1.3924831156315523e-16,2.220446049250313e-16,2.220446049250313e-16,1.0,2.370984764453724e-16,2.220446049250313e-16,0.0,,,,,,
delay,delay_g_1_05,циклический режим,early,direct,noisy,0.8793103448275862,,,,0.34150937039630813,0.05688068704213678,0.1409541964394918,,11.990324094263139,0.22645112376332166,0.4269310990991245,,,,,,
delay,delay_g_1_05,циклический режим,late,direct,noisy,0.9661016949152542,,,,0.06368179385802718,0.02787605143998695,0.04135813447818881,,0.5589672436801989,0.10956583567129385,0.19038758728944072,,,,,,
delay,delay_g_1_05,циклический режим,middle,direct,noisy,0.9333333333333333,,,,0.09064263627798698,0.04680702115164187,0.08028081860897981,,0.4662610655579858,0.2163492565009526,0.3216373779996367,,,,,,
delay,delay_g_1_05,циклический режим,early,regression,noisy,1.0,,,,0.002780198982184366,0.0025390137674053403,0.002507629068556505,0.9884569375808355,0.006119710500259497,0.0050459833426323986,0.006134585667752046,,,,,,
delay,delay_g_1_05,циклический режим,late,regression,noisy,1.0,,,,0.0017158898692262894,0.0015054015968740675,0.0015943599696770505,0.9881656395268041,0.008259356531527347,0.006579338287462155,0.009876948925563012,,,,,,
delay,delay_g_1_05,циклический режим,middle,regression,noisy,1.0,,,,0.003270527577001798,0.0032443656198173354,0.00367285319988947,0.9806844420543301,0.012625401449520273,0.011210844603738002,0.009600238235763281,,,,,,
