model,segment,method,observation,cases,valid_share,mean_R2,a_mae,g_mae,q_mae,gamma_mae,k_mae,noise_level
base,late,regression,noisy,5,1.0,0.8367224983357445,0.1737783316493469,,,,0.004032756021814486,0.02
base,middle,direct,noisy,5,0.9288135593220339,,0.756134832020185,,,,0.012342985021447294,0.02
base,middle,regression,noisy,5,1.0,0.8176663545840179,0.12202249853851872,,,,0.003674935230254764,0.02
delay,early,direct,noisy,5,0.6310344827586206,,,44.875281918984726,,,0.4073470532213941,0.02
delay,early,regression,noisy,5,0.8,0.6388099170431939,,0.3002868642261571,,,0.12464032506943024,0.02
delay,late,direct,noisy,5,0.49830508474576274,,,2.5795912144919675,,,0.24096423807232736,0.02
delay,late,regression,noisy,5,0.5224489795918368,0.4991146192396788,,0.20579100682822152,,,0.010087564250260993,0.02
delay,middle,direct,noisy,5,0.5266666666666666,,,48.904790949004514,,,0.10700934654024713,0.02
delay,middle,regression,noisy,5,0.5830508474576271,0.5249572381910603,,0.20440945264055146,,,0.01107642406867405,0.02
mixed,early,direct,noisy,7,0.5467980295566502,,,,251.1747389172046,1.0084787601245437,0.5371555300659867,0.02
mixed,early,regression,noisy,7,0.681547619047619,0.6169284302114612,,,0.9813348814819024,0.5416576888234664,0.6077047956123194,0.02
mixed,late,direct,noisy,7,0.4382566585956416,,,,1.6160527833407123,0.3178234246973899,0.2654061133778067,0.02
mixed,late,regression,noisy,7,0.5714285714285714,0.9094448238227386,,,0.4416884459367756,0.3234555538966415,0.26226270103012517,0.02
mixed,middle,direct,noisy,7,0.4382566585956416,,,,2.9283627369783742,0.36629181905144126,0.3180032199159156,0.02
mixed,middle,regression,noisy,7,0.5714285714285714,0.8801664415895822,,,0.24752171333452544,0.23065067690438462,0.17869862866669534,0.02
base,early,direct,noisy,5,0.894915254237288,,24.89087115757166,,,,0.13084018501519928,0.05
base,early,regression,noisy,5,1.0,0.8499403184314431,0.16607720297199413,,,,0.010371864805400657,0.05
base,late,direct,noisy,5,0.9533333333333334,,0.9431016190014126,,,,0.03121135731084803,0.05
base,late,regression,noisy,5,1.0,0.8228992189416158,0.19361926054478498,,,,0.00954814197258347,0.05
base,middle,direct,noisy,5,0.9288135593220339,,0.8369543416061898,,,,0.031069989364749563,0.05
base,middle,regression,noisy,5,1.0,0.8031370315008333,0.14370548749216355,,,,0.009854559479259544,0.05
delay,early,direct,noisy,5,0.6,,,143.33757709498653,,,0.46250119531103645,0.05
delay,early,regression,noisy,5,0.7875,0.5477511571709782,,0.3486191554355772,,,0.24003950237686458,0.05
delay,late,direct,noisy,5,0.488135593220339,,,2.931134727182531,,,0.487973937622202,0.05
delay,late,regression,noisy,5,0.5306122448979591,0.47913389121654915,,0.21390692242170492,,,0.031517537885904154,0.05
delay,middle,direct,noisy,5,0.49333333333333335,,,62.65066417389616,,,0.1257734770368557,0.05
delay,middle,regression,noisy,5,0.5830508474576271,0.4765779341624127,,0.2163406877856697,,,0.12379764674460364,0.05
mixed,early,direct,noisy,7,0.5467980295566502,,,,245.16547664901853,1.1099765199244789,0.5863534840653534,0.05
mixed,early,regression,noisy,7,0.681547619047619,0.6038265917252598,,,0.9967889657209813,0.5647001400791238,0.6334076630193134,0.05
mixed,late,direct,noisy,7,0.4406779661016949,,,,1.8010188016934467,0.33497730694731076,0.2788742311537802,0.05
mixed,late,regression,noisy,7,0.5714285714285714,0.8937467723669017,,,0.45269961991671437,0.3261001158463107,0.26442244904890877,0.05
mixed,middle,direct,noisy,7,0.4382566585956416,,,,9.261141053181131,1.6060861969017193,1.1429319314426074,0.05
mixed,middle,regression,noisy,7,0.5714285714285714,0.8642929100324406,,,0.25570499976873656,0.2296564231565518,0.17838974947205866,0.05
