start,end,model_name,valid,a,k,alpha,segment,model,case,regime,method,observation,R2,g,q,gamma
82,107,base,True,0.9571247855091656,0.9981472270857191,0.9553514506309873,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.4815730360353315,,,
83,108,base,True,0.9474415893610326,0.9986942219952131,0.9462044409728246,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.4714154908759869,,,
84,109,base,True,0.9513253117917609,0.9986884716373406,0.9500776216632303,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.4776079076945128,,,
85,110,base,True,0.9562833596035927,0.999469789907011,0.9557763285145734,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.4934238153836338,,,
86,111,base,True,0.9576547358650503,1.0000426511758294,0.9576955809655736,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.4747789350056043,,,
87,112,base,True,0.9402783805563886,1.0008793092278703,0.9411051760131787,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.47226727041742644,,,
88,113,base,True,0.9397370159853348,0.9988763678439216,0.9386810972559165,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.47823740375669155,,,
89,114,base,True,0.982389146827926,0.998360829471989,0.9807788434914078,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5010290532726911,,,
90,115,base,True,0.9843298858405756,0.9984141519889852,0.9827688882489328,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.4950289154894634,,,
91,116,base,True,0.9934693583942825,0.9969710264383634,0.9904601659734102,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.49671853838225277,,,
92,117,base,True,1.005505019566608,0.9974850430850782,1.0029762177646604,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5032058585737744,,,
93,118,base,True,1.0081831294788588,0.9959017633566563,1.0040513564344276,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5201190566982876,,,
94,119,base,True,1.0641337145868028,0.9966517409216837,1.0605707192163951,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5160496756455227,,,
95,120,base,True,1.045029700499269,0.9964052988607806,1.0412731310443661,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5292443179881989,,,
96,121,base,True,0.9984029148925546,0.9975275792315508,0.995934442790494,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5152852837483302,,,
97,122,base,True,0.9728368238126032,0.9966980114966166,0.969624527804706,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.48873974362429795,,,
98,123,base,True,0.931916412902092,0.9981044687575541,0.930149936226088,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5003693978435972,,,
99,124,base,True,1.1020866933057838,0.997994398722147,1.099876346825385,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5551135831344745,,,
100,125,base,True,1.0063885587170043,0.997318348399442,1.0036897752277376,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.4912470888504441,,,
101,126,base,True,1.0430701604155983,0.9983380279543767,1.0413366069673637,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5291997049909614,,,
102,127,base,True,1.0858036290807205,0.9966432421723781,1.0821588492495435,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.4953527618121235,,,
103,128,base,True,1.2198455573051747,0.9955716160051663,1.2144436127630356,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6773910077011405,,,
104,129,base,True,1.3218942493217463,0.9947079364037169,1.3148987008867747,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.629321266399088,,,
105,130,base,True,1.3928789332729352,0.9953919900802276,1.3864605333313715,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.678056096047328,,,
106,131,base,True,1.3971729093028276,0.9951014114488514,1.3903287340853419,middle,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6913788989329694,,,
107,132,base,True,1.447037718183859,0.9950271886205988,1.4398418725524516,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.7105354488820088,,,
108,133,base,True,1.4159889579441378,0.9952913136412259,1.4093215100536916,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.7004509126383323,,,
109,134,base,True,1.4387642028379584,0.9946065479120343,1.4310042970440717,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.693682635548486,,,
110,135,base,True,1.5076349867620578,0.9946139262043581,1.4995147534664657,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.7284338393877346,,,
111,136,base,True,1.3883310961834734,0.9953595981308738,1.3818886819697775,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6613442255335121,,,
112,137,base,True,1.3118275629634786,0.9962257336697301,1.3068763763614655,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6557908257231901,,,
113,138,base,True,1.3166799674566514,0.9962783975832397,1.3117798081076648,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6517098034423743,,,
114,139,base,True,1.318077077047295,0.9961161390294571,1.3129578489315836,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6527980283623729,,,
115,140,base,True,1.3115929629019951,0.9961261506232568,1.3065120493201166,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6502042687789682,,,
116,141,base,True,1.3395635944519804,0.9966704238411496,1.335103415444629,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6471173241400867,,,
117,142,base,True,1.3251566735625069,0.9970686018536289,1.3212721117459745,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6592975047667806,,,
118,143,base,True,1.2986199922055865,0.9964609752570189,1.294024143921441,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6566241035339302,,,
119,144,base,True,1.3400814390314317,0.9956310635836577,1.3342267084315829,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6613716314040841,,,
120,145,base,True,1.3348063722661176,0.994982464444354,1.3281089338333696,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.659796433693493,,,
121,146,base,True,1.3143845310758486,0.9944065619811338,1.3070326026683192,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6402800827400787,,,
122,147,base,True,1.3654682864841141,0.9951435613817536,1.358836973565642,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6504646639002394,,,
123,148,base,True,1.3183536162965512,0.9966343479954376,1.3139164968051407,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6814038832791159,,,
124,149,base,True,1.430646942206116,0.9981640260023116,1.4280203116203531,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.7051373121974331,,,
125,150,base,True,1.4024502897773137,0.9984795754389948,1.4003179699111474,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6957348509192951,,,
126,151,base,True,1.3694025045815068,0.9992430326888948,1.368365911649793,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.7176435795943076,,,
127,152,base,True,1.3251215277520472,0.9987507630065685,1.3234661369187868,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6657705643365647,,,
128,153,base,True,1.2528013366295228,0.999269792035672,1.2518865311157952,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6517845556104697,,,
129,154,base,True,1.2035429427586444,0.9988987079896803,1.2022174905317076,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6043282921945377,,,
130,155,base,True,1.1738980970657413,0.9991120647878309,1.1728557516098583,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5866319361862302,,,
131,156,base,True,1.1308074359565725,0.9983606201762495,1.1289536130615183,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.568455792718572,,,
132,157,base,True,1.1333049891231675,0.9971471722606797,1.1300718652130868,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5345101499899827,,,
133,158,base,True,1.0493945845910861,0.9975957422637558,1.0468715695427102,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5391574690307528,,,
134,159,base,True,0.9997316181001631,0.9979460276173023,0.9976781969664757,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.4717132178300747,,,
135,160,base,True,1.1888686206343126,0.9964711012693629,1.184673223668062,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.62652352844789,,,
136,161,base,True,1.212778774269363,0.9954791096199825,1.2072959343756793,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5870340175702654,,,
137,162,base,True,1.2360877284434435,0.9957643415725211,1.2308520830393588,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6046074200509943,,,
138,163,base,True,1.1687512706258585,0.9970013942619288,1.1652466463593818,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5372976449286322,,,
139,164,base,True,1.2551278836071202,0.9969192561313903,1.2512611560753766,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6109707959545273,,,
140,165,base,True,1.1833361208646405,0.9959253936615381,1.1785144920060344,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6141228624565094,,,
141,166,base,True,1.1790107967645607,0.9956673444127828,1.1739025490485693,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5859884878381555,,,
142,167,base,True,1.1384293673698282,0.994422660815412,1.1320799606503107,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.535607016916632,,,
143,168,base,True,1.2016140710534655,0.9953594621393614,1.1960379354628659,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5858373502350449,,,
144,169,base,True,1.1948061261857015,0.9959983679182893,1.1900249516597323,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5940792103368453,,,
145,170,base,True,1.216309484399212,0.9969927975754785,1.2126517955687581,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6185571353969974,,,
146,171,base,True,1.1472610804416057,0.9956961548170545,1.1423234463669663,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5977433643887141,,,
147,172,base,True,1.1955878885445732,0.995881720214499,1.1906641231113904,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5880282875033587,,,
148,173,base,True,1.2076764358439893,0.9949228966109088,1.2015449377186402,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6221282979443452,,,
149,174,base,True,1.2527921249814173,0.9945831317064562,1.2460059150412042,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6240017875201225,,,
150,175,base,True,1.2534308961193474,0.9942845912721334,1.2462670262358893,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.615154178182496,,,
151,176,base,True,1.2002468713709271,0.9936141397413474,1.1925822625744673,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.5840562356715826,,,
152,177,base,True,1.2813532464235724,0.9947603491586582,1.2746394028078931,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.597411970495722,,,
153,178,base,True,1.2564558680374158,0.9948039726116139,1.249927288934795,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.62330732700332,,,
154,179,base,True,1.2615937899235297,0.9951610037880139,1.2554889423530244,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6219934657130196,,,
155,180,base,True,1.2523798045309105,0.9954559189274331,1.2466888891654766,late,base,base_a_0_8,устойчивое насыщение,regression,noisy,0.6208828156812782,,,
0,3,base,True,1.5000000000033369,0.9999999999977759,1.5000000000000007,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
1,4,base,True,1.5000000000000917,0.9999999999999387,1.4999999999999998,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
2,5,base,True,1.4999999999996882,1.0000000000002076,1.4999999999999996,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
3,6,base,True,1.4999999999998812,1.0000000000000793,1.5,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
4,7,base,True,1.5000000000000464,0.9999999999999695,1.5000000000000007,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
5,8,base,True,1.5000000000000056,0.9999999999999964,1.5000000000000002,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
6,9,base,True,1.5000000000000002,0.9999999999999999,1.5,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
7,10,base,True,1.4999999999999993,1.0000000000000004,1.5,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
8,11,base,True,1.5000000000000009,0.9999999999999996,1.5000000000000002,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
9,12,base,True,1.5,1.0,1.5,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
10,13,base,True,1.5,1.0,1.5,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
11,14,base,True,1.499999999999976,1.0,1.499999999999976,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
12,15,base,True,1.5000000000000209,1.0,1.5000000000000209,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
13,16,base,True,1.5000000000000522,1.0,1.5000000000000522,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
14,17,base,True,1.4999999999998364,1.0,1.4999999999998364,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
15,18,base,True,1.499999999999622,1.0,1.499999999999622,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
16,19,base,True,1.499999999999942,1.0,1.499999999999942,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
17,20,base,True,1.500000000000697,1.0,1.500000000000697,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
18,21,base,True,1.4999999999994906,0.9999999999999999,1.4999999999994904,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
19,22,base,True,1.4999999999979978,1.0,1.4999999999979978,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
20,23,base,True,1.5000000000068965,1.0,1.5000000000068965,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
21,24,base,True,1.5000000000159122,1.0,1.5000000000159122,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
22,25,base,True,1.4999999999739912,0.9999999999999999,1.499999999973991,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
23,26,base,True,1.4999999999227822,1.0,1.4999999999227822,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
24,27,base,True,1.500000000023098,1.0000000000000002,1.5000000000230982,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
25,28,base,True,1.5000000001395533,1.0,1.5000000001395533,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
26,29,base,True,1.5000000002309957,1.0,1.5000000002309957,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
27,30,base,True,1.5000000004856886,1.0,1.5000000004856886,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
28,31,base,True,1.500000002161709,1.0,1.500000002161709,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
29,32,base,True,1.5000000043293646,1.0,1.5000000043293646,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
30,33,base,True,1.4999999990375885,1.0,1.4999999990375885,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
31,34,base,True,1.4999999932675843,1.0,1.4999999932675843,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
32,35,base,True,1.4999999985571268,1.0,1.4999999985571268,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
33,36,base,True,1.5000000007214365,1.0,1.5000000007214365,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
34,37,base,True,1.4999999226939853,1.0,1.4999999226939853,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
35,38,base,True,1.4999998462897426,1.0,1.4999998462897426,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
36,39,base,True,1.4999993843471655,1.0,1.4999993843471655,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
37,40,base,True,1.4999987689182641,1.0,1.4999987689182641,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
38,41,base,True,1.499998768847598,1.0,1.499998768847598,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
39,42,base,True,1.4999975377454953,1.0,1.4999975377454953,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
40,43,base,True,1.4999999999943638,1.0,1.4999999999943638,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
41,44,base,True,1.500000000002818,1.0,1.500000000002818,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
42,45,base,True,1.4999803017753706,1.0,1.4999803017753706,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
43,46,base,True,1.499960602002123,1.0,1.499960602002123,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
44,47,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
45,48,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
46,49,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
47,50,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
48,51,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
49,52,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
50,53,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
51,54,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
52,55,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
53,56,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
54,57,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
55,58,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
56,59,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
57,60,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
58,61,base,False,,,,early,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
59,62,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
60,63,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
61,64,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
62,65,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
63,66,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
64,67,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
65,68,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
66,69,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
67,70,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
68,71,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
69,72,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
70,73,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
71,74,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
72,75,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
73,76,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
74,77,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
75,78,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
76,79,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
77,80,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
78,81,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
79,82,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
80,83,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
81,84,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
82,85,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
83,86,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
84,87,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
85,88,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
86,89,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
87,90,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
88,91,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
89,92,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
90,93,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
91,94,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
92,95,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
93,96,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
94,97,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
95,98,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
96,99,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
97,100,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
98,101,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
99,102,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
100,103,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
101,104,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
102,105,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
103,106,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
104,107,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
105,108,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
106,109,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
107,110,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
108,111,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
109,112,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
110,113,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
111,114,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
112,115,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
113,116,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
114,117,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
115,118,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
116,119,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
117,120,base,False,,,,middle,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
118,121,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
119,122,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
120,123,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
121,124,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
122,125,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
123,126,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
124,127,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
125,128,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
126,129,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
127,130,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
128,131,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
129,132,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
130,133,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
131,134,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
132,135,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
133,136,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
134,137,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
135,138,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
136,139,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
137,140,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
138,141,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
139,142,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
140,143,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
141,144,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
142,145,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
143,146,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
144,147,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
145,148,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
146,149,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
147,150,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
148,151,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
149,152,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
150,153,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
151,154,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
152,155,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
153,156,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
154,157,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
155,158,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
156,159,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
157,160,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
158,161,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
159,162,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
160,163,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
161,164,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
162,165,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
163,166,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
164,167,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
165,168,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
166,169,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
167,170,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
168,171,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
169,172,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
170,173,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
171,174,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
172,175,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
173,176,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
174,177,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
175,178,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
176,179,base,False,,,,late,base,base_a_1_5,быстрое насыщение,direct,clean,,,,
