start,end,model_name,valid,a,k,alpha,segment,model,case,regime,method,observation,R2,g,q,gamma
47,50,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
48,51,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
49,52,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
50,53,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
51,54,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
52,55,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
53,56,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
54,57,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
55,58,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
56,59,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
57,60,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
58,61,base,False,,,,early,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
59,62,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
60,63,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
61,64,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
62,65,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
63,66,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
64,67,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
65,68,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
66,69,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
67,70,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
68,71,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
69,72,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
70,73,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
71,74,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
72,75,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
73,76,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
74,77,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
75,78,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
76,79,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
77,80,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
78,81,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
79,82,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
80,83,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
81,84,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
82,85,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
83,86,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
84,87,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
85,88,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
86,89,base,False,,,,middle,base,base_a_0_8,устойчивое насыщение,direct,clean,,,,
