sector_2d,sector_label,interval,start_year,end_year,n_years,years,regime_label,interpretability_label,tool_label,spec,n_obs,adj_r2,r2,top_beta,top_b,beta_x,beta_lag1,beta_lag2,b_x,b_lag1,b_lag2,b_sum,cond_scaled,mean_abs_corr,sign_x,sign_lag1,loo_runs,loo_top_beta_consistency,loo_sign_lag1_consistency
15,15 — Производство хлеба и мучных кондитерских изделий,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M1_lag1,4,-0.3916356950008846,0.07224286999941032,Lag_1,Lag_1,,-0.2687803378214456,,,-4.953654981936103e-07,,-4.953654981936103e-07,1.0,0.0,,-1.0,0,,
15,15 — Производство хлеба и мучных кондитерских изделий,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",oscillatory,interpretable,structural_m1_m2,M2_current_lag1,4,0.26260324810065305,0.7542010827002177,X_n,X_n,-1.1048538782388444,0.465211405700651,,-5.39890833071299e-06,8.573903940225858e-07,,8.573903940225858e-07,2.2267239901225095,0.6643337711698962,-1.0,1.0,0,,
15,15 — Производство хлеба и мучных кондитерских изделий,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M1_current,8,0.2418030824223154,0.35011692779055614,X_n,X_n,-0.5917067920774244,,,-9.129106908672241e-07,,,0.0,1.0,0.0,-1.0,,9,1.0,0.0
15,15 — Производство хлеба и мучных кондитерских изделий,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M1_lag1,7,-0.1916481019113756,0.006959915073853629,Lag_1,Lag_1,,-0.08342610546977114,,,-1.1454241589372399e-07,,-1.1454241589372399e-07,1.0,0.0,,-1.0,9,1.0,0.3333333333333333
15,15 — Производство хлеба и мучных кондитерских изделий,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M2_current_lag1,7,-0.36262698471703736,0.09158201018864176,X_n,X_n,-0.4510547573377363,0.26128870274452065,,-8.857957503538966e-07,3.587442934027288e-07,,3.587442934027288e-07,2.735554922189777,0.7642415972927649,-1.0,1.0,9,0.7777777777777778,1.0
15,15 — Производство хлеба и мучных кондитерских изделий,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",monotone_growth,interpretable,structural_m1_m2,M3_lag1_lag2,6,0.08271679037372381,0.4496300742242343,Lag_2,Lag_2,,-0.2155185272361417,0.7985226554149268,,-4.670705419837993e-07,1.1944770949486143e-06,7.274065529648151e-07,2.296321499756894,0.6811779800410734,,-1.0,9,0.8888888888888888,0.3333333333333333
18,18 — Производство спецодежды,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_current,5,-0.2905052885543147,0.03212103358426388,X_n,X_n,-0.17922341806880004,,,-1.542958507454708e-06,,,0.0,1.0,0.0,-1.0,,6,1.0,0.0
18,18 — Производство спецодежды,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M1_lag1,4,-0.10452868615612032,0.2636475425625865,Lag_1,Lag_1,,-0.5134662039147141,,,-4.429334794210175e-06,,-4.429334794210175e-06,1.0,0.0,,-1.0,0,,
18,18 — Производство спецодежды,2014-2019,2014,2019,6,"2014,2015,2016,2017,2018,2019",plateau_like,low_dispersion,do_not_read_regression,M2_current_lag1,4,0.963681506011984,0.987893835337328,X_n,X_n,-1.534457208572682,0.7633707599009196,,-1.1585032245279751e-05,6.585096822211526e-06,,6.585096822211526e-06,3.3034151174241932,0.8321098540136671,-1.0,1.0,0,,
18,18 — Производство спецодежды,2014-2022,2014,2022,9,"2014,2015,2016,2017,2018,2019,2020,2021,2022",oscillatory,interpretable,structural_m1_m2,M1_current,8,0.21539768461688458,0.32748372967161543,X_n,X_n,-0.5722619414845053,,,-8.097487324630438e-06,,,0.0,1.0,0.0,-1.0,,9,1.0,0.0
