series_code,series_name,variant,window,start,end,regime_label,interpretability_label,reading_mode,R2_enter,top_beta_predictor,top_b_predictor,b_sum,selected,selected_count,beta_x,beta_lag1,b_x,b_lag1
05,Добыча угля,adj_unsmoothed,24,0,24,turbulent_informative,interpretable,phase_caution,0.1532907066037259,Lag_3,Lag_3,-0.0002741661239134348,[],0.0,0.14519225447600292,-0.1094634887589101,0.0010665951846911934,-0.0010184455735086028
05,Добыча угля,adj_unsmoothed,24,1,25,turbulent_informative,interpretable,phase_caution,0.18106158344720358,Lag_3,Lag_3,-0.0013217208343265733,[],0.0,0.10617241752708641,-0.23190948790704446,0.000647951428977275,-0.0017651675224316836
05,Добыча угля,adj_unsmoothed,24,2,26,turbulent_informative,interpretable,phase_caution,0.18265921606409685,Lag_3,Lag_3,-0.0005783432134994996,[],0.0,0.09207720719939065,-0.23456269765915028,0.000521851760836584,-0.0014400029290330802
05,Добыча угля,adj_unsmoothed,24,3,27,turbulent_informative,interpretable,phase_caution,0.20217787683392252,Lag_2,Lag_2,-0.002175649209694102,[],0.0,0.029618803290393708,-0.1391234433675666,0.00016549275007669782,-0.0008148539119194246
05,Добыча угля,adj_unsmoothed,24,4,28,turbulent_informative,interpretable,phase_caution,0.2277319041123519,Lag_2,Lag_2,-0.0015753536983018933,[],0.0,-0.12502165560162873,-0.015005016714686625,-0.0006658902203597156,-7.948399602966671e-05
05,Добыча угля,adj_unsmoothed,24,5,29,turbulent_informative,interpretable,phase_caution,0.23627817854522326,Lag_2,Lag_2,-0.0012343123251456057,[],0.0,-0.19073701645664584,-0.023929271056660345,-0.0010710129648276677,-0.00012719784195220783
05,Добыча угля,adj_unsmoothed,24,6,30,turbulent_informative,interpretable,phase_caution,0.20438095742961515,Lag_2,Lag_2,-0.0012899082574183512,[],0.0,-0.1888873110430252,0.002187094221633046,-0.0011284843481423664,1.210932075138959e-05
05,Добыча угля,adj_unsmoothed,24,7,31,turbulent_informative,interpretable,phase_caution,0.1907654352788234,Lag_2,Lag_2,-0.0012541342999136049,[],0.0,-0.1897143009699278,0.011611947137712159,-0.0012676579274187275,7.414436221170892e-05
05,Добыча угля,adj_unsmoothed,24,8,32,turbulent_informative,interpretable,phase_caution,0.18026060729446858,Lag_2,Lag_2,-0.0013484061692533725,[],0.0,-0.1814712301557658,0.002412676021366633,-0.0012100388232037557,1.6015752860659314e-05
05,Добыча угля,adj_unsmoothed,24,9,33,turbulent_informative,interpretable,phase_caution,0.22573414906165412,Lag_2,Lag_2,-0.0018558041034340924,[],0.0,-0.17693964461838407,0.22365900881359235,-0.0012238310675745424,0.0015603483954017762
05,Добыча угля,adj_unsmoothed,24,10,34,turbulent_informative,interpretable,phase_caution,0.1867124681543063,Lag_2,Lag_2,-0.0023617890976893093,[],0.0,0.08477553631385068,0.011106030866286587,0.0005151567045875287,7.191843994505762e-05
05,Добыча угля,adj_unsmoothed,24,11,35,turbulent_informative,interpretable,phase_caution,0.24160325770370483,Lag_2,Lag_2,-0.0036620389093572165,[],0.0,0.22961861714533277,-0.3011729766313482,0.0012456391120409568,-0.0017830661349119378
05,Добыча угля,adj_unsmoothed,24,12,36,turbulent_informative,interpretable,phase_caution,0.29266344505569275,Lag_2,Lag_2,-0.002569542390468198,[],0.0,-0.014421199963750325,0.12735133584963784,-7.39789019166439e-05,0.0006773291425999366
05,Добыча угля,adj_unsmoothed,24,13,37,turbulent_informative,interpretable,phase_caution,0.24011017050140837,Lag_2,Lag_2,-0.002117376892554937,[],0.0,-0.05006643851058702,0.05931088630902423,-0.000252905151437585,0.0002989035546960982
05,Добыча угля,adj_unsmoothed,24,14,38,turbulent_informative,collinearity_heavy,beta_bsum_caution,0.2579116404280869,Lag_2,Lag_2,-0.00227532004543111,[],0.0,-0.0584084136360693,0.09625843415564145,-0.0003068815199341739,0.0004906913529941815
05,Добыча угля,adj_unsmoothed,24,15,39,turbulent_informative,interpretable,phase_caution,0.19197069592730887,Lag_2,Lag_2,-0.001421767347138846,[],0.0,-0.12962630756916324,0.24294100888769105,-0.0007181952763849126,0.0013098362604023756
05,Добыча угля,adj_unsmoothed,24,16,40,turbulent_informative,interpretable,phase_caution,0.24397611203941572,Lag_2,Lag_2,-0.0019244779707099533,[],0.0,-0.07793886417940528,0.20287563193420943,-0.00042692474772451573,0.0011223002517829076
