series_code,series_name,variant,windows,interpretable_share,mean_r2,mean_b_sum,mean_selected_count,dominant_mode,dominant_top_beta,dominant_top_b
21,Производство лекарственных сред,adj_unsmoothed,133,0.8421052631578947,0.3775399767937028,-0.00039428392741743456,0.3082706766917293,phase_caution,X_n,X_n
18,Деятельность полиграфическая и,adj_unsmoothed,133,0.8270676691729323,0.4191927579175584,0.0028517869153945074,0.38345864661654133,phase_caution,X_n,X_n
39,Предоставление услуг в области,adj_unsmoothed,133,0.8270676691729323,0.3525447519757047,0.00030088133898952164,0.3082706766917293,phase_caution,X_n,X_n
16,Обработка древесины и производс,adj_unsmoothed,133,0.8195488721804511,0.49334340947171257,0.0026197098089575962,0.5338345864661654,phase_caution,X_n,X_n
31,Производство мебели,adj_unsmoothed,133,0.8195488721804511,0.3639961341269947,0.002782347463869266,0.19548872180451127,phase_caution,X_n,X_n
15,Производство кожи и изделий из,adj_unsmoothed,133,0.8120300751879699,0.5122688750557379,0.00542329539020692,0.46616541353383456,phase_caution,X_n,X_n
08.1,"Добыча камня, песка и глины",adj_unsmoothed,133,0.8045112781954887,0.5478810386403784,0.0002903112879554945,0.8195488721804511,phase_caution,X_n,X_n
06.2,Добыча природного газа и газо,adj_unsmoothed,133,0.8045112781954887,0.2513244194484709,-0.0008022380206260347,0.07518796992481203,phase_caution,X_n,X_n
26,"Производство компьютеров, элект",adj_unsmoothed,133,0.7969924812030075,0.45328480681990724,0.0014236363846209011,0.43609022556390975,phase_caution,X_n,X_n
22.1,Производство резиновых издели,adj_unsmoothed,133,0.7894736842105263,0.4841174676785388,0.0025696470785904176,0.5714285714285714,phase_caution,X_n,X_n
27,Производство электрического обо,adj_unsmoothed,133,0.7894736842105263,0.42744879699065863,0.0001471819304550621,0.5939849624060151,phase_caution,X_n,X_n
05,Добыча угля,adj_unsmoothed,133,0.7894736842105263,0.28093559083214453,-0.0016437246991986198,0.15789473684210525,phase_caution,X_n,X_n
11,Производство напитков,adj_unsmoothed,133,0.7819548872180451,0.4309359277272222,-0.001716772571273693,0.5338345864661654,phase_caution,X_n,X_n
