scope,windows,degraded_share,low_dispersion_share,collinearity_share,stable_share,median_var_omega_degraded,median_var_omega_stable,median_cond_scaled_degraded,median_cond_scaled_stable,median_max_vif_degraded,median_max_vif_stable,mean_false_lag_rate_degraded,mean_false_lag_rate_stable
overall,1395.0,0.5111111111111111,0.32974910394265233,0.1813620071684588,0.4888888888888889,3.330411186064348e-14,0.35389691743199303,495312929639.4486,181313049.9358304,58448.291130696125,430360.43289675703,0.4704474619972516,0.0
base,465.0,0.5827956989247312,0.2903225806451613,0.2924731182795699,0.4172043010752688,6.260457694695105e-20,0.5369253660296607,1264937018362.4065,3343383809897296.0,6837222188.28854,40302200015.40545,0.462332603845519,0.0
delay,465.0,0.44731182795698926,0.4129032258064516,0.034408602150537634,0.5526881720430108,6.511302501700345e-14,0.4571831641658498,37758093447.29307,607.1223303894104,8638450.752712496,980.0039244255008,0.31511422605172607,0.0
mixed,465.0,0.5032258064516129,0.2860215053763441,0.2172043010752688,0.4967741935483871,6.050394414541727e-14,0.32175287838069794,5.956755893161576e+33,183206433.66789198,1.28399209486166,22537703.59148664,0.6179194262527598,0.0
