model,case,regime,start,end,stage,var_x,var_omega,mean_x,mean_omega,cond_raw,cond_scaled,max_vif,mean_vif,infinite_vif_share,selected_count,false_lag_count,false_lag_rate,hit_rate,no_model,degenerate_window,failure_type,degraded_window,R2_enter,pairwise_b,pairwise_beta,correct_top_b,correct_top_beta,true_beta_mass_share,true_b_mass_share,beta_scale_gap,log10_var_x,log10_var_omega,log10_cond_raw,log10_cond_scaled,var_omega_band,cond_scaled_band
base,base_a_0_8,устойчивое насыщение,12,37,early,5.964874258981532e-10,3.8175195257529097e-10,0.9999915389893327,6.768808533894655e-06,2.061800583404037e+17,98973192399166.22,150501257431.1755,50617742319.81564,0.7272727272727273,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,0.9,0.5,0.0,0.0,0.003600376257528771,0.19453731863336376,1.8802098531022353,-9.224398706931787,-9.418218732947361,17.31424665817576,13.995517578742138,Q2,Q2
base,base_a_0_8,устойчивое насыщение,13,38,early,2.3877295043241783e-11,1.528146882772778e-11,0.9999983072634056,1.354189275498274e-06,2.7394292802086794e+17,26882342237502.79,5341058982.049406,5341058982.049406,0.9090909090909091,1.0,0.0,0.0,1.0,0,0,stable,0,1.0,0.9,0.5,0.0,0.0,0.00661046890667457,0.14339518083197603,3.210555605435513,-10.622014874122755,-10.815834900137359,17.437660093377566,13.429467105769683,Q2,Q2
base,base_a_0_8,устойчивое насыщение,14,39,early,9.552343260438997e-13,6.113499686564176e-13,0.9999996614312868,2.7085497039245387e-07,5.14023593464212e+17,27804640175052.234,4412276533.811924,4412276533.811924,0.9090909090909091,1.0,0.0,0.0,1.0,0,0,collinearity,1,0.999999999998129,0.9,0.4,0.0,0.0,0.0013828957768460186,0.14505119602914274,24.07613400905011,-12.0,-12.0,17.710983053384687,13.444117279164747,Q2,Q2
base,base_a_0_8,устойчивое насыщение,15,40,early,3.8210513463976037e-14,2.445472861735134e-14,0.9999999322854014,5.417167879563327e-08,4.423566402617314e+17,26812593797749.883,2083925544.5725067,2083925544.5725067,0.9090909090909091,1.0,0.0,0.0,1.0,0,0,collinearity,1,0.999999999999982,0.9,0.3,0.0,0.0,0.001544431929491929,0.11346878261857596,103.07833274828218,-12.0,-12.0,17.64577255089624,13.428338828811743,Q2,Q2
base,base_a_0_8,устойчивое насыщение,16,41,early,1.5284296621713437e-15,9.781949834929638e-16,0.9999999864570459,1.0834363150220474e-08,4.399193335790399e+17,16704703348662.598,,,1.0,1.0,0.0,0.0,1.0,0,0,collinearity,1,0.9999999999999999,0.9,0.2,0.0,0.0,0.00022231865932261579,0.09291341708190112,353.5810550677675,-12.0,-12.0,17.643373048774283,13.222838767601637,Q1,Q2
base,base_a_0_8,устойчивое насыщение,17,42,early,6.113725955131489e-17,3.912784607214776e-17,0.9999999972914078,2.1668737273357785e-09,5.5646294487549984e+17,9070394482081.248,,,1.0,4.0,3.0,0.75,1.0,0,0,collinearity,1,0.9999999999903341,0.8,0.2,0.0,0.0,9.56974270828453e-05,0.06995493501035577,1042.4919556967914,-12.0,-12.0,17.74543624976345,12.957626175446595,Q1,Q2
base,base_a_0_8,устойчивое насыщение,18,43,early,2.4454909761492635e-18,1.5651142232586525e-18,0.9999999994582814,4.33374790627637e-10,5.837186773669541e+17,10933781451804.885,231208749512.05154,231208749512.05154,0.9090909090909091,6.0,5.0,0.8333333333333334,1.0,0,0,collinearity,1,0.9999999999998905,0.9,0.1,0.0,0.0,2.9096575357352362e-05,0.07730875938303065,3267.2373362583185,-12.0,-12.0,17.766203589742627,13.038770388814386,Q1,Q2
base,base_a_0_8,устойчивое насыщение,19,44,early,9.781964408657863e-20,6.260457694695105e-20,0.9999999998916563,8.66749609470076e-11,3.603100855178028e+17,1843454209234.605,198755444960.96457,198755444960.96457,0.9090909090909091,4.0,3.0,0.75,1.0,0,0,collinearity,1,0.9999999913225722,0.7,0.0,0.0,0.0,4.396143936147872e-05,0.06391537379125378,1281.0855106147555,-12.0,-12.0,17.556676418723807,12.265632354351292,Q1,Q2
base,base_a_0_8,устойчивое насыщение,20,45,early,3.912784617950653e-21,2.5041830545626565e-21,0.9999999999783312,1.7334990589345205e-11,2.4632404715768022e+17,1264937018362.4065,131641858682.01736,67949377093.63805,0.8181818181818182,5.0,4.0,0.8,1.0,0,1,low_dispersion,1,0.999999999997536,0.7,0.0,0.0,0.0,1.2130941525418293e-05,0.017969072658347778,5136.81270578401,-12.0,-12.0,17.391506811506577,12.102068902382506,Q1,Q2
base,base_a_0_8,устойчивое насыщение,21,46,early,1.5651116024906423e-22,1.0016725962216412e-22,0.9999999999956662,3.4669965312752115e-12,2.740336087529357e+17,181688517996.84314,47787099597.53505,28126113008.443226,0.8181818181818182,6.0,5.0,0.8333333333333334,1.0,0,1,low_dispersion,1,0.9999999852287066,0.5,0.2,0.0,0.0,1.986053823852392e-05,0.0700925996676121,4987.09024629057,-12.0,-12.0,17.43780382997674,11.259327482463924,Q1,Q2
base,base_a_0_8,устойчивое насыщение,22,47,early,6.260417147484243e-24,4.006619064468426e-24,0.9999999999991332,6.933977201997125e-13,2.7532578604637098e+17,64792385344.490486,393981246380.0626,103664600429.34393,0.6363636363636364,7.0,6.0,0.8571428571428571,1.0,0,1,low_dispersion,1,0.9999999998655796,0.8,0.0,0.0,0.0,9.857165693400632e-06,0.06040695305641988,14565.578288187948,-12.0,-12.0,17.439846887794403,10.811523968876955,Q1,Q2
base,base_a_0_8,устойчивое насыщение,23,48,early,2.504286671469718e-25,1.6026426634856762e-25,0.9999999999998267,1.3868271610482963e-13,3.1766508046969645e+17,50320179800.901146,51082649494.351326,13091200898.08588,0.6363636363636364,6.0,5.0,0.8333333333333334,1.0,0,1,low_dispersion,1,0.9999999966481269,0.9,0.0,0.0,0.0,6.9808503951301535e-06,0.06261672108543465,18560.64100631804,-12.0,-12.0,17.501969477361545,10.701742184233709,Q1,Q2
base,base_a_0_8,устойчивое насыщение,24,49,early,1.0019671885983693e-26,6.4107782631968044e-27,0.9999999999999653,2.7739715286714678e-14,3.304732226741734e+17,8145419857.7416725,153248817605.1211,42503519756.08294,0.5454545454545454,7.0,6.0,0.8571428571428571,1.0,0,1,low_dispersion,1,0.9999999318500833,0.6,0.0,0.0,0.0,3.5745977566665844e-06,0.05133867792024077,29477.733310046813,-12.0,-12.0,17.519136275573622,9.910913475041198,Q1,Q3
