model,scope,windows,false_lag_rate,hit_rate,no_model_share,std_b_sum
base,all_windows,620,0.246201589629009,0.6225806451612903,0.3774193548387097,0.12434431698137077
base,oracle_filtered,186,0.6159936538968795,1.0,0.0,0.13093945866796877
base,predicted_filtered,170,0.6617146252440369,1.0,0.0,0.10967566723163287
delay,all_windows,620,0.10732864357864358,0.7451612903225806,0.25,0.5225544814486063
delay,oracle_filtered,273,0.02564102564102564,1.0,0.0,0.4402636110665653
delay,predicted_filtered,219,0.0319634703196347,1.0,0.0,0.3781402706203768
mixed,all_windows,620,0.23321475119862214,0.5887096774193549,0.3403225806451613,0.6492502609925868
mixed,oracle_filtered,332,0.24618365235835118,0.9186746987951807,0.0,0.8083223504071261
mixed,predicted_filtered,240,0.29055405242905247,0.9333333333333333,0.0,0.8050617200557009
