model,case,regime,windows,cond_original,cond_pcr,cond_reduction_ratio,enter_validation_r2,pcr_validation_r2,enter_true_mass_share,pcr_true_mass_share,enter_support_90,pcr_support_90,enter_pairwise,pcr_pairwise,enter_false_lag_rate,pcr_false_lag_rate,retained_components,explained_variance_share,component_dominance,component_true_loading_share
base,base_a_2_2,затухающие колебания,155.0,6.751578854232564e+113,1.1308071281031866,6.751578854232564e+113,0.9999986716361736,0.999947767143278,0.12188606259236218,0.09400062938968609,9.109677419354838,9.903225806451612,0.40258064516129033,0.13225806451612904,0.8876257971419261,0.905590234138621,1.1096774193548387,0.9982223160522133,0.09877548253828496,0.08928714087542614
base,base_a_2_52,предтурбулентный цикл,155.0,2.744460909425035e+17,5.15806506103475,5.2405428735296744e+16,0.9999902827394529,0.9841460747040566,0.3451072061166773,0.1830562688751859,7.251612903225807,7.064516129032258,0.9509677419354841,0.9000000000000004,0.8738632872503841,0.8509616906391099,2.0903225806451613,0.9727596315556302,0.11398186724528316,0.10504323523609131
delay,delay_g_1_25,усиленный цикл,155.0,7.725678731600374e+16,3.0529478430162924,2.510172369957463e+16,-1.263141657315217,-2.764606323596374,0.5923485948626092,0.20619699498628138,6.496774193548387,8.32258064516129,1.0,0.9690322580645161,0.7245950286272866,0.890455010938882,4.032258064516129,0.9736791114192538,0.1562687351028108,0.08028633681256095
mixed,mixed_q_1_5_gamma_0_5,"смешанная память, умеренный режим",22.0,1593280896570577.8,1.8078030313756401,538132598477412.6,0.9999800341967563,0.9495644306599454,0.5584709694823303,0.24922146908224505,4.2272727272727275,8.818181818181818,0.9040404040404041,0.6085858585858586,0.5830808080808081,0.7735143644234553,2.6818181818181817,0.9902552676276545,0.14586162420875778,0.1899887158976396
mixed,mixed_q_2_8_gamma_0_5,"смешанная память, цикл",155.0,6.3524525233017784e+16,1.203167032778941,5.649525260254778e+16,0.9604420822185357,0.9857313005675205,0.6130950589029068,0.15038303550456059,6.167741935483871,7.0,0.9917562724014337,0.34982078853046594,0.6874421635711957,0.8527593911464879,2.2580645161290325,0.9971177148238589,0.1409863765595735,0.18361353732290386
