rho,windows,retained_components,explained_variance_share,validation_r2,validation_mae,true_mass_share,support_90,pairwise_score,false_lag_rate,component_dominance
0.8,642,1.5794392523364487,0.9462132556501855,-1.3333399661294518,0.1135122778516213,0.12245555792290623,8.897196261682243,0.476981654551748,0.8863492513025224,0.11865873452144593
0.9,642,1.8660436137071652,0.9635924319776903,-1.100311093755578,0.11192553449622991,0.12772110368680512,8.73208722741433,0.4762028383523711,0.8839930794370046,0.12190845922911811
0.95,642,2.383177570093458,0.9856095417986085,0.08208619064078419,0.06870527473902292,0.16152117800147203,8.098130841121495,0.588490827275874,0.8714658826808359,0.12813222314130107
0.99,642,3.202492211838006,0.9979733456276035,0.8344341217396009,0.03865404146239854,0.18916050458432485,8.34423676012461,0.5953963309103496,0.8767950420987803,0.1340821721021533
