case,component,variable,abs_loading,loading_share,is_true_predictor
base_a_2_2,4,Lag_4,0.2818229612948994,0.10853782763472287,0
base_a_2_2,4,Lag_5,0.2784297153412054,0.1012173507097317,0
base_a_2_2,4,Lag_8,0.19383817712080895,0.06930118150161302,0
base_a_2_2,4,Lag_9,0.18154395474202,0.06475928091080574,0
base_a_2_2,4,X_n,0.15311516111182147,0.05680786760782089,1
base_a_2_2,4,Lag_1,0.14933335032119702,0.055372225521557385,0
base_a_2_2,4,Lag_2,0.1393346505788155,0.05171456881671072,0
base_a_2_2,5,Lag_4,0.5679788208762918,0.20093718121295567,0
base_a_2_2,5,Lag_7,0.48966541289016,0.17323178996679003,0
base_a_2_2,5,Lag_10,0.3814755726847788,0.13495683898673522,0
base_a_2_2,5,Lag_3,0.2729408051141552,0.09655986104027331,0
base_a_2_2,5,X_n,0.23707470791618915,0.08387130258143798,1
base_a_2_2,5,Lag_1,0.22698147799308224,0.08030056174473857,0
base_a_2_2,5,Lag_2,0.21057378282634961,0.07449591569839809,0
base_a_2_2,5,Lag_6,0.17814515874956083,0.063023452160847,0
base_a_2_2,5,Lag_9,0.15431639178071177,0.05459341024640776,0
base_a_2_2,5,Lag_5,0.09965154071528469,0.03525430695455216,0
base_a_2_2,5,Lag_8,0.007845022576107096,0.0027753794068640053,0
base_a_2_52,1,Lag_1,0.3056216363019865,0.09239353770529014,0
base_a_2_52,1,X_n,0.3038349134614637,0.09185431245911217,1
base_a_2_52,1,Lag_5,0.30376444039718964,0.09178047106921652,0
base_a_2_52,1,Lag_2,0.30375576562057344,0.09182985804044522,0
base_a_2_52,1,Lag_4,0.30315802118742075,0.09162859116947433,0
base_a_2_52,1,Lag_3,0.3019714753182292,0.0912915120048941,0
base_a_2_52,1,Lag_6,0.30083459431998083,0.09087238586437997,0
base_a_2_52,1,Lag_8,0.29799798437762304,0.08996947728711131,0
base_a_2_52,1,Lag_9,0.29728833120541764,0.08971764724624966,0
base_a_2_52,1,Lag_7,0.29717059558302816,0.089728933297823,0
base_a_2_52,1,Lag_10,0.29467702970107,0.08893327385600357,0
base_a_2_52,2,Lag_8,0.3722061676845183,0.12411745024624249,0
base_a_2_52,2,Lag_10,0.36708311280823386,0.1252032041828642,0
base_a_2_52,2,Lag_4,0.3594775314679164,0.11843576204916328,0
base_a_2_52,2,X_n,0.35871564647538207,0.11817509243900386,1
base_a_2_52,2,Lag_6,0.34943909876302476,0.11623908129612213,0
base_a_2_52,2,Lag_2,0.3442086572975661,0.11419598488442204,0
base_a_2_52,2,Lag_7,0.197400952375034,0.06382345125610354,0
base_a_2_52,2,Lag_3,0.18800410802201273,0.059921620549087375,0
base_a_2_52,2,Lag_9,0.17536052230557891,0.058693547083293454,0
base_a_2_52,2,Lag_5,0.1596179726409581,0.05119630154427567,0
base_a_2_52,2,Lag_1,0.15645616314450034,0.04999850446942191,0
base_a_2_52,3,Lag_10,0.4579703787194354,0.17908835209703908,0
base_a_2_52,3,Lag_9,0.33499362687346057,0.12721627912261863,0
base_a_2_52,3,Lag_6,0.30567832937602374,0.12097281331978756,0
base_a_2_52,3,Lag_7,0.2826003789192241,0.1155073677829793,0
