model,case,regime,start,end,stage,true_predictor_count,cond_original,cond_pcr,cond_reduction_ratio,enter_validation_r2,pcr_validation_r2,enter_validation_mae,pcr_validation_mae,enter_true_mass_share,pcr_true_mass_share,enter_support_90,pcr_support_90,enter_pairwise,pcr_pairwise,enter_topk,pcr_topk,enter_false_lag_rate,pcr_false_lag_rate,enter_hit_rate,pcr_hit_rate,retained_components,explained_variance_share,pc1_share,component_dominance,component_true_loading_share
base,base_a_2_2,затухающие колебания,19,44,early,1.0,5.685677852894181e+16,1.0,5.685677852894181e+16,0.9999999982497388,0.9999999999999633,1.498282648630204e-05,8.255824936650076e-08,0.14580484430249108,0.09090909090910654,7.0,10.0,1.0,0.2,1.0,0.0,0.8571428571428571,0.9090909090909091,1.0,1.0,1.0,0.9999999999995483,0.9999999999995483,0.09090909090911042,0.09090909090910654
base,base_a_2_2,затухающие колебания,20,45,early,1.0,3.1383746901714116e+16,1.0,3.1383746901714116e+16,0.9999920731561509,0.9999999999999913,0.0011915761090971293,3.340603384656878e-08,0.1458944095919473,0.09090909090909931,7.0,10.0,1.0,0.5,1.0,0.0,0.8571428571428571,0.9090909090909091,1.0,1.0,1.0,0.999999999999777,0.999999999999777,0.09090909090910078,0.09090909090909931
base,base_a_2_2,затухающие колебания,21,46,early,1.0,1.5726910969393763e+17,1.0,1.5726910969393763e+17,0.999858770988204,0.9999999999999991,0.004990916450628158,1.3209632054866915e-08,0.14569643000831478,0.09090909090909158,7.0,10.0,1.0,1.0,1.0,1.0,0.8571428571428571,0.9090909090909091,1.0,1.0,1.0,0.9999999999999885,0.9999999999999885,0.09090909090909159,0.09090909090909159
base,base_a_2_2,затухающие колебания,22,47,early,1.0,3.3065899921282724e+16,1.0,3.3065899921282724e+16,0.9999857659434216,0.9999999999999998,0.0016012065137526732,5.345053677441314e-09,0.12724806967567825,0.09090909090909126,8.0,10.0,1.0,0.9,1.0,0.0,0.875,0.9090909090909091,1.0,1.0,1.0,0.9999999999999942,0.9999999999999942,0.09090909090909127,0.09090909090909126
base,base_a_2_2,затухающие колебания,23,48,early,1.0,2.1137370409121972e+16,1.0,2.1137370409121972e+16,1.0,1.0,1.1713645609034984e-09,2.1135490209841143e-09,0.11263104940160218,0.09090909090909088,9.0,10.0,1.0,0.2,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,0.9999999999999997,0.9999999999999997,0.09090909090909095,0.09090909090909088
base,base_a_2_2,затухающие колебания,24,49,early,1.0,1.8711068025004836e+16,1.0,1.8711068025004836e+16,0.9999999999999996,1.0,8.455887730759079e-09,8.552107170582227e-10,0.11263104822461992,0.09090909090909091,9.0,10.0,1.0,0.2,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.09090909090909094,0.09090909090909091
base,base_a_2_2,затухающие колебания,25,50,early,1.0,3.184788493483443e+16,1.0,3.184788493483443e+16,0.9999999999999979,1.0,1.951307282421766e-08,3.3816816014109463e-10,0.11263104214412516,0.09090909090909091,9.0,10.0,1.0,0.6,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.09090909090909091
base,base_a_2_2,затухающие колебания,26,51,early,1.0,8.441172540483826e+16,1.0,8.441172540483826e+16,0.9999999999999976,1.0,1.927442557410804e-08,1.3683376653972346e-10,0.11263106134575732,0.09090909090909088,9.0,10.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.09090909090909088
base,base_a_2_2,затухающие колебания,27,52,early,1.0,3.816023259628421e+16,1.0,3.816023259628421e+16,0.999999999999995,1.0,1.8772431535178196e-08,5.410692264599485e-11,0.11263104743207969,0.09090909090909091,9.0,10.0,1.0,0.2,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.0909090909090909
base,base_a_2_2,затухающие колебания,28,53,early,1.0,2.6834126341767082e+17,1.0,2.6834126341767082e+17,0.9999999999996745,1.0,2.445995465431376e-07,2.18935055270227e-11,0.1126310196092268,0.09090909090909091,9.0,10.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.0909090909090909
base,base_a_2_2,затухающие колебания,29,54,early,1.0,6.032619451396917e+16,1.0,6.032619451396917e+16,0.9999999999995607,1.0,2.8422616734265677e-07,8.65701954566589e-12,0.11263096454827151,0.09090909090909087,9.0,10.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.0909090909090909,0.09090909090909087
base,base_a_2_2,затухающие колебания,30,55,early,1.0,1.31099549359831e+17,1.0,1.31099549359831e+17,0.9999999999954793,1.0,9.140429578409955e-07,3.5028646649948314e-12,0.11263100223379699,0.09090909090909087,9.0,10.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.09090909090909088
base,base_a_2_2,затухающие колебания,31,56,early,1.0,8.90935089252895e+16,1.0,8.90935089252895e+16,0.9999999999906262,1.0,8.372222834636863e-07,1.385058734371114e-12,0.11263145642729282,0.09090909090909086,9.0,10.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.09090909090909086
base,base_a_2_2,затухающие колебания,32,57,early,1.0,2.912515609549725e+16,1.0,2.912515609549725e+16,0.9999999998947328,1.0,4.238839052983501e-06,5.604775902649332e-13,0.11262912380981255,0.0909090909090909,9.0,10.0,1.0,0.3,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909095,0.0909090909090909
base,base_a_2_2,затухающие колебания,33,58,early,1.0,7.373717704455352e+17,1.0,7.373717704455352e+17,0.999999985380051,1.0,5.218467000955851e-05,2.2185956775426044e-13,0.11262453953801489,0.09090909090909091,9.0,10.0,1.0,0.4,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.09090909090909091
base,base_a_2_2,затухающие колебания,34,59,early,1.0,1.3373488305318008e+18,1.0,1.3373488305318008e+18,0.9999999975108144,1.0,2.1266179762909527e-05,8.970602038971265e-14,0.11263036062243359,0.0909090909090909,9.0,10.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909095,0.09090909090909088
base,base_a_2_2,затухающие колебания,35,60,early,1.0,1.6545836303295747e+18,1.0,1.6545836303295747e+18,0.9999999919777894,1.0,3.865260696722661e-05,3.5416114485542494e-14,0.11262501349942196,0.09090909090909087,9.0,10.0,1.0,0.0,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.09090909090909088
base,base_a_2_2,затухающие колебания,36,61,early,1.0,5.149120625615584e+17,1.0,5.149120625615584e+17,0.9999999929232622,1.0,2.7523460633209023e-05,1.4247862149356177e-14,0.1125754525381623,0.09090909090909084,9.0,10.0,0.9,0.0,0.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.09090909090909086
base,base_a_2_2,затухающие колебания,37,62,early,1.0,5.585588703131871e+33,1.0,5.585588703131871e+33,0.9999999384186853,1.0,0.00010640383941270166,5.495603971894525e-15,0.1127407195842473,0.0909090909090909,9.0,10.0,1.0,0.1,1.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.0909090909090909,0.09090909090909088
base,base_a_2_2,затухающие колебания,38,63,early,1.0,7.450640763019361e+33,1.0,7.450640763019361e+33,0.9999973495785192,1.0,0.0006921926340001106,2.1834386150961413e-15,0.11198231932205299,0.09090909090909086,9.0,10.0,0.9,0.0,0.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.09090909090909086
base,base_a_2_2,затухающие колебания,39,64,early,1.0,1.3878095497047288e+50,1.0,1.3878095497047288e+50,0.9999986343825048,1.0,0.0004818063472495175,7.771561172376096e-16,0.11303054570415284,0.0909090909090909,9.0,10.0,0.9,0.1,0.0,0.0,0.8888888888888888,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.0909090909090909,0.09090909090909088
base,base_a_2_2,затухающие колебания,40,65,early,1.0,9.963391543079451e+49,1.0,9.963391543079451e+49,0.9999619690048787,1.0,0.0026215785680503423,4.070817756958907e-16,0.09930699228866158,0.09090909090909086,10.0,10.0,0.5,0.0,0.0,0.0,0.9,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.09090909090909094,0.09090909090909086
base,base_a_2_2,затухающие колебания,41,66,early,1.0,6.495453299407518e+65,1.0,6.495453299407518e+65,1.0,1.0,2.9605947323337506e-16,2.220446049250313e-16,0.0909090909090909,0.09090909090909091,10.0,10.0,0.2,0.1,0.0,0.0,0.9090909090909091,0.9090909090909091,1.0,1.0,1.0,1.0,1.0,0.0909090909090909,0.09090909090909088
