date,series_code,series_name,series_label,variant,index_value
2017-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,106.948
2017-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,106.757
2017-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,107.131
2018-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,107.875
2018-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,108.676
2018-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,109.36
2018-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,110.013
2018-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,110.791
2018-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.763
2018-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.831
2018-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,113.804
2018-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,114.523
2018-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,114.889
2018-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,114.977
2018-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.022
2019-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.207
2019-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.478
2019-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.601
2019-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.507
2019-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.464
2019-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.823
2019-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,116.545
2019-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,117.126
2019-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,117.167
2019-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,116.761
2019-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,116.3
2019-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,116.171
2020-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,116.248
2020-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.897
2020-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,113.972
2020-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,109.985
2020-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,105.251
2020-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.186
2020-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,102.055
2020-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,103.851
2020-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,105.722
2020-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,106.725
2020-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,106.986
2020-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,107.11
2021-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,107.465
2021-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,108.322
2021-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,109.633
2021-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.034
2021-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.092
2021-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.691
2021-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,113.133
2021-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,113.76
2021-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,114.556
2021-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.233
2021-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.723
2021-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,116.122
2022-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,116.269
2022-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,115.706
2022-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,114.305
2022-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.929
2022-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.646
2022-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,113.41
2022-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,114.166
2022-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,114.217
2022-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,113.758
2022-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,113.26
2022-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.979
2022-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.904
2023-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.961
2023-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,113.078
2023-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,113.081
2023-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.919
2023-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.732
2023-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.672
2023-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.733
2023-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.81
2023-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.831
2023-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.749
2023-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.609
2023-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.502
2024-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.526
2024-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.606
2024-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.527
2024-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.165
2024-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.652
2024-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.28
2024-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.143
2024-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.128
2024-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.188
2024-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.466
2024-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.92
2024-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,112.037
2025-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.465
2025-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,110.537
2025-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,109.933
2025-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,109.895
2025-05-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,110.107
2025-06-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,110.273
2025-07-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,110.423
2025-08-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,110.752
2025-09-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.272
2025-10-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.761
2025-11-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,111.768
2025-12-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_smoothed,110.739
2013-01-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,100.153
2013-02-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,100.247
2013-03-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,100.235
2013-04-01,B,Добыча полезных ископаемых,B Добыча полезных ископаемых,adj_unsmoothed,100.85
