series_code,start,end,preferred_tool,interpretability_label,actual_next,pred_model,pred_naive,ae_model,ae_naive,improves
05,1,25,phase_short_forecast,interpretable,106.762,109.30361869655465,110.562,2.54161869655465,3.799999999999997,1.0
05,2,26,phase_short_forecast,interpretable,105.749,105.3671931705439,106.762,0.3818068294560959,1.0130000000000052,1.0
05,3,27,phase_short_forecast,interpretable,105.952,105.42322763591612,105.749,0.5287723640838777,0.20300000000000296,0.0
05,4,28,phase_short_forecast,interpretable,105.69,105.9514484001573,105.952,0.2614484001573061,0.26200000000000045,1.0
05,5,29,phase_short_forecast,interpretable,109.643,105.7221475066353,105.69,3.9208524933647055,3.953000000000003,1.0
05,6,30,phase_short_forecast,interpretable,109.742,109.80572769680545,109.643,0.06372769680544366,0.09900000000000375,1.0
05,7,31,phase_short_forecast,interpretable,114.416,109.1508832104704,109.742,5.2651167895296,4.673999999999992,0.0
05,8,32,phase_short_forecast,interpretable,114.524,113.79811033938854,114.416,0.7258896606114575,0.10800000000000409,0.0
05,9,33,phase_short_forecast,interpretable,114.047,113.52188860280609,114.524,0.5251113971939105,0.47700000000000387,0.0
05,10,34,phase_short_forecast,interpretable,114.169,113.21810714227173,114.047,0.9508928577282632,0.12199999999999989,0.0
05,11,35,phase_short_forecast,interpretable,115.4,113.40938715419928,114.169,1.990612845800726,1.2310000000000088,0.0
05,12,36,phase_short_forecast,interpretable,112.848,115.09753390809664,115.4,2.2495339080966374,2.5520000000000067,1.0
05,13,37,phase_short_forecast,interpretable,115.581,111.42065950028712,112.848,4.160340499712888,2.733000000000004,0.0
05,14,38,phase_short_forecast,collinearity_heavy,115.806,115.44922628008781,115.581,0.35677371991218365,0.22499999999999432,0.0
05,15,39,phase_short_forecast,interpretable,119.563,115.14142548182603,115.806,4.421574518173969,3.757000000000005,0.0
05,16,40,phase_short_forecast,interpretable,117.107,119.60881898184036,119.563,2.5018189818403584,2.456000000000003,0.0
05,17,41,phase_short_forecast,interpretable,116.179,116.26338176971444,117.107,0.08438176971444022,0.9279999999999973,1.0
05,18,42,phase_short_forecast,interpretable,119.202,115.57905227041861,116.179,3.6229477295813837,3.022999999999996,0.0
05,19,43,phase_short_forecast,interpretable,117.514,118.7227647588169,119.202,1.2087647588168977,1.6880000000000024,1.0
05,20,44,phase_short_forecast,interpretable,115.223,116.96789001255556,117.514,1.7448900125555582,2.290999999999997,1.0
05,21,45,phase_short_forecast,interpretable,115.141,114.98229364177699,115.223,0.15870635822301438,0.08199999999999363,0.0
05,22,46,phase_short_forecast,collinearity_heavy,118.113,114.94255765180539,115.141,3.1704423481946122,2.971999999999994,0.0
05,23,47,phase_short_forecast,collinearity_heavy,122.389,117.74764683672828,118.113,4.641353163271717,4.275999999999996,0.0
05,24,48,phase_short_forecast,collinearity_heavy,123.266,122.26074773009877,122.389,1.0052522699012343,0.8770000000000095,0.0
05,25,49,phase_short_forecast,collinearity_heavy,122.066,123.07747874282654,123.266,1.0114787428265402,1.2000000000000028,1.0
05,26,50,phase_short_forecast,collinearity_heavy,121.731,121.85077605066456,122.066,0.11977605066456931,0.33500000000000796,1.0
05,27,51,phase_short_forecast,collinearity_heavy,121.859,121.33520292656004,121.731,0.5237970734399511,0.1280000000000001,0.0
05,28,52,phase_short_forecast,interpretable,124.207,121.16607092889514,121.859,3.0409290711048556,2.347999999999999,0.0
05,29,53,phase_short_forecast,interpretable,123.907,123.37104064277926,124.207,0.5359593572207331,0.29999999999999716,0.0
05,30,54,phase_short_forecast,interpretable,122.473,123.17689552314097,123.907,0.7038955231409716,1.4339999999999975,1.0
05,31,55,phase_short_forecast,interpretable,120.559,122.25678186541246,122.473,1.6977818654124661,1.9140000000000015,1.0
05,32,56,phase_short_forecast,interpretable,121.558,120.29238222441478,120.559,1.265617775585227,0.9990000000000094,0.0
05,33,57,phase_short_forecast,interpretable,118.736,121.33627117045613,121.558,2.600271170456125,2.8220000000000027,1.0
05,34,58,phase_short_forecast,interpretable,118.158,118.9491291483341,118.736,0.7911291483340932,0.578000000000003,0.0
05,35,59,phase_short_forecast,interpretable,121.317,118.50841364145204,118.158,2.808586358547956,3.158999999999992,1.0
05,36,60,phase_short_forecast,interpretable,126.238,121.33845851774332,121.317,4.89954148225668,4.9210000000000065,1.0
05,37,61,phase_short_forecast,interpretable,125.929,125.83650261993994,126.238,0.0924973800600668,0.3089999999999975,1.0
05,38,62,phase_short_forecast,interpretable,127.807,123.91416212999823,125.929,3.8928378700017703,1.8780000000000001,0.0
05,39,63,phase_short_forecast,interpretable,128.27,126.9585856511426,127.807,1.3114143488574115,0.46300000000000807,0.0
05,40,64,phase_short_forecast,interpretable,128.629,126.98185480787596,128.27,1.6471451921240288,0.35899999999998045,0.0
05,41,65,phase_short_forecast,interpretable,128.71,127.5727052498558,128.629,1.137294750144207,0.08100000000001728,0.0
05,42,66,phase_short_forecast,collinearity_heavy,130.192,127.9222976797089,128.71,2.2697023202911026,1.4819999999999993,0.0
05,43,67,phase_short_forecast,collinearity_heavy,128.449,129.92282622490686,130.192,1.4738262249068441,1.742999999999995,1.0
05,44,68,phase_short_forecast,collinearity_heavy,127.038,126.94425085139186,128.449,0.09374914860813988,1.4110000000000156,1.0
05,45,69,do_not_read_regression,low_dispersion,128.177,126.03599778425972,127.038,2.141002215740272,1.1389999999999958,0.0
05,46,70,do_not_read_regression,low_dispersion,129.2,127.96582893675897,128.177,1.2341710632410212,1.0229999999999961,0.0
05,47,71,do_not_read_regression,low_dispersion,130.992,129.02870755054968,129.2,1.9632924494503072,1.7920000000000016,0.0
05,48,72,do_not_read_regression,plateau_degenerate,126.372,131.03946747361817,130.992,4.667467473618174,4.61999999999999,0.0
05,49,73,do_not_read_regression,plateau_degenerate,127.36,125.25770085596938,126.372,2.1022991440306242,0.9879999999999995,0.0
05,50,74,do_not_read_regression,low_dispersion,128.422,127.31939510388231,127.36,1.1026048961176826,1.0619999999999976,0.0
05,51,75,do_not_read_regression,low_dispersion,128.486,128.2732105754807,128.422,0.21278942451928629,0.06399999999999295,0.0
05,52,76,do_not_read_regression,low_dispersion,127.482,128.23869936249932,128.486,0.7566993624993188,1.0039999999999907,1.0
05,53,77,do_not_read_regression,low_dispersion,126.819,127.2474901805301,127.482,0.42849018053009047,0.6629999999999967,1.0
05,54,78,do_not_read_regression,low_dispersion,128.311,126.79223291016113,126.819,1.5187670898388745,1.4920000000000044,0.0
05,55,79,do_not_read_regression,low_dispersion,132.874,128.32350191186575,128.311,4.550498088134248,4.562999999999988,1.0
05,56,80,do_not_read_regression,low_dispersion,132.976,132.5946903952187,132.874,0.3813096047813076,0.10200000000000387,0.0
05,57,81,phase_short_forecast,interpretable,131.937,131.66279327734023,132.976,0.27420672265978396,1.0389999999999873,1.0
05,58,82,do_not_read_regression,low_dispersion,126.532,130.5366387072694,131.937,4.004638707269393,5.405000000000015,1.0
05,59,83,do_not_read_regression,low_dispersion,121.636,126.82260506049671,126.532,5.186605060496717,4.896000000000001,0.0
05,60,84,do_not_read_regression,plateau_degenerate,115.979,123.28963335312837,121.636,7.310633353128367,5.6569999999999965,0.0
05,61,85,do_not_read_regression,plateau_degenerate,118.448,117.02736172214912,115.979,1.4206382778508697,2.468999999999994,1.0
05,62,86,structural_regression,interpretable,120.972,125.02454055860333,118.448,4.05254055860334,2.524000000000001,0.0
05,63,87,phase_short_forecast,interpretable,115.798,124.60132469361236,120.972,8.803324693612353,5.173999999999992,0.0
