label,ae_model,ae_naive,improves,grouping
collinearity_heavy,6.02220695045494,6.03726160990712,0.5356037151702786,interpretability
interpretable,5.907686464338294,5.863617893943202,0.49057552148781103,interpretability
low_dispersion,5.44802687929527,5.921673059360732,0.5251141552511416,interpretability
plateau_degenerate,1.4771742415911469,1.3490058261700095,0.4574976122254059,interpretability
direct_probe + enter,1.9001874938544583,2.1266785714285703,0.5,preferred_tool
do_not_read_regression,2.648375221600848,2.697711717171717,0.47744107744107744,preferred_tool
phase_short_forecast,5.952339147376647,5.916556958987783,0.4969458987783595,preferred_tool
structural_regression,3.144624263238942,2.9679999999999978,0.48148148148148145,preferred_tool
