model,case,regime,windows,problem_share,false_stepwise_share,mean_abs_corr,all_correct_top_b,all_correct_top_beta,all_topk_b,all_topk_beta,all_pairwise_b,all_pairwise_beta,problem_correct_top_b,problem_correct_top_beta,problem_topk_b,problem_topk_beta,problem_pairwise_b,problem_pairwise_beta
base,base_a_2_2,затухающие колебания,155.0,0.9548387096774194,0.8064516129032258,0.9820437061338149,0.03870967741935484,0.23225806451612904,0.03870967741935484,0.23225806451612904,0.2019354838709677,0.4038709677419355,0.0,0.19594594594594594,0.0,0.19594594594594594,0.16486486486486487,0.3756756756756757
base,base_a_2_52,предтурбулентный цикл,155.0,0.9612903225806452,0.03225806451612903,0.9210922666724086,0.47096774193548385,0.5161290322580645,0.47096774193548385,0.5161290322580645,0.9470967741935487,0.9516129032258066,0.44966442953020136,0.4966442953020134,0.44966442953020136,0.4966442953020134,0.9449664429530203,0.9496644295302017
delay,delay_g_0_8,затухающие колебания,155.0,0.025806451612903226,0.025806451612903226,0.6060319729170982,0.44516129032258067,0.6193548387096774,0.44516129032258067,0.6193548387096774,0.7774193548387097,0.7883870967741936,0.5,0.5,0.5,0.5,0.75,0.55
delay,delay_g_1_25,сложный цикл,155.0,0.07741935483870968,0.07741935483870968,0.5014206137366791,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mixed,mixed_q_1_5_gamma_neg_0_2,отрицательная память и стационаризация,155.0,0.9290322580645162,0.5483870967741935,0.9693559037207665,0.9419354838709677,0.7935483870967742,0.635483870967742,0.7580645161290323,0.7376344086021505,0.7132616487455198,0.9375,0.7777777777777778,0.6076388888888888,0.7395833333333334,0.7175925925925927,0.6913580246913581
mixed,mixed_q_2_8_gamma_0_5,цикл со смешанной памятью,155.0,0.03870967741935484,0.03870967741935484,0.6145327611790908,1.0,1.0,0.9806451612903225,1.0,0.9910394265232974,1.0,1.0,1.0,1.0,1.0,1.0,1.0
