scope,windows,problem_share,false_stepwise_share,all_correct_top_b,all_correct_top_beta,all_topk_b,all_topk_beta,all_pairwise_b,all_pairwise_beta,problem_correct_top_b,problem_correct_top_beta,problem_topk_b,problem_topk_beta,problem_pairwise_b,problem_pairwise_beta
base,310.0,0.9580645161290322,0.41935483870967744,0.25483870967741934,0.3741935483870968,0.25483870967741934,0.3741935483870968,0.5745161290322581,0.6777419354838711,0.2255892255892256,0.3468013468013468,0.2255892255892256,0.3468013468013468,0.5562289562289563,0.6636363636363637
delay,310.0,0.05161290322580645,0.05161290322580645,0.7225806451612903,0.8096774193548387,0.7225806451612903,0.8096774193548387,0.8887096774193548,0.894193548387097,0.875,0.875,0.875,0.875,0.9375,0.8875
mixed,310.0,0.4838709677419355,0.29354838709677417,0.9709677419354839,0.896774193548387,0.8080645161290323,0.8790322580645161,0.864336917562724,0.8566308243727598,0.94,0.7866666666666666,0.6233333333333333,0.75,0.7288888888888889,0.7037037037037038
overall,930.0,0.4978494623655914,0.25483870967741934,0.6494623655913978,0.6935483870967742,0.5951612903225807,0.6876344086021505,0.7758542413381123,0.8095221027479093,0.4794816414686825,0.5075593952483801,0.37688984881209503,0.4956803455723542,0.6253419726421887,0.6843532517398608
